effective_date,symbol
2018-10-04,3MINDIA.NS
2018-10-04,8KMILES.NS
2018-10-04,AARTIIND.NS
2018-10-04,ABB.NS
2018-10-04,ABCAPITAL.NS
2018-10-04,ABFRL.NS
2018-10-04,ACC.NS
2018-10-04,ADANIPORTS.NS
2018-10-04,ADANIPOWER.NS
2018-10-04,ADANITRANS.NS
2018-10-04,ADVENZYMES.NS
2018-10-04,AEGISCHEM.NS
2018-10-04,AIAENG.NS
2018-10-04,AJANTPHARM.NS
2018-10-04,AKZOINDIA.NS
2018-10-04,ALBK.NS
2018-10-04,ALKEM.NS
2018-10-04,ALLCARGO.NS
2018-10-04,AMARAJABAT.NS
2018-10-04,AMBUJACEM.NS
2018-10-04,ANDHRABANK.NS
2018-10-04,APLAPOLLO.NS
2018-10-04,APLLTD.NS
2018-10-04,APOLLOHOSP.NS
2018-10-04,APOLLOTYRE.NS
2018-10-04,ASHOKA.NS
2018-10-04,ASHOKLEY.NS
2018-10-04,ASIANPAINT.NS
2018-10-04,ASTERDM.NS
2018-10-04,ASTRAL.NS
2018-10-04,ATUL.NS
2018-10-04,AUBANK.NS
2018-10-04,AUROPHARMA.NS
2018-10-04,AVANTIFEED.NS
2018-10-04,AXISBANK.NS
2018-10-04,BAJAJ-AUTO.NS
2018-10-04,BAJAJCORP.NS
2018-10-04,BAJAJELEC.NS
2018-10-04,BAJAJFINSV.NS
2018-10-04,BAJAJHLDNG.NS
2018-10-04,BAJFINANCE.NS
2018-10-04,BALKRISIND.NS
2018-10-04,BALMLAWRIE.NS
2018-10-04,BALRAMCHIN.NS
2018-10-04,BANDHANBNK.NS
2018-10-04,BANKBARODA.NS
2018-10-04,BANKINDIA.NS
2018-10-04,BASF.NS
2018-10-04,BATAINDIA.NS
2018-10-04,BBTC.NS
2018-10-04,BDL.NS
2018-10-04,BEL.NS
2018-10-04,BEML.NS
2018-10-04,BERGEPAINT.NS
2018-10-04,BHARATFIN.NS
2018-10-04,BHARATFORG.NS
2018-10-04,BHARTIARTL.NS
2018-10-04,BHEL.NS
2018-10-04,BIOCON.NS
2018-10-04,BIRLACORPN.NS
2018-10-04,BLISSGVS.NS
2018-10-04,BLUEDART.NS
2018-10-04,BLUESTARCO.NS
2018-10-04,BOMDYEING.NS
2018-10-04,BOSCHLTD.NS
2018-10-04,BPCL.NS
2018-10-04,BRIGADE.NS
2018-10-04,BRITANNIA.NS
2018-10-04,BSE.NS
2018-10-04,CADILAHC.NS
2018-10-04,CANBK.NS
2018-10-04,CANFINHOME.NS
2018-10-04,CAPF.NS
2018-10-04,CAPLIPOINT.NS
2018-10-04,CARBORUNIV.NS
2018-10-04,CARERATING.NS
2018-10-04,CASTROLIND.NS
2018-10-04,CCL.NS
2018-10-04,CDSL.NS
2018-10-04,CEATLTD.NS
2018-10-04,CENTRALBK.NS
2018-10-04,CENTURYPLY.NS
2018-10-04,CENTURYTEX.NS
2018-10-04,CERA.NS
2018-10-04,CGPOWER.NS
2018-10-04,CHAMBLFERT.NS
2018-10-04,CHENNPETRO.NS
2018-10-04,CHOLAFIN.NS
2018-10-04,CIPLA.NS
2018-10-04,COALINDIA.NS
2018-10-04,COCHINSHIP.NS
2018-10-04,COFFEEDAY.NS
2018-10-04,COLPAL.NS
2018-10-04,CONCOR.NS
2018-10-04,COROMANDEL.NS
2018-10-04,CRISIL.NS
2018-10-04,CROMPTON.NS
2018-10-04,CUB.NS
2018-10-04,CUMMINSIND.NS
2018-10-04,CYIENT.NS
2018-10-04,DABUR.NS
2018-10-04,DBCORP.NS
2018-10-04,DBL.NS
2018-10-04,DCAL.NS
2018-10-04,DCBBANK.NS
2018-10-04,DCMSHRIRAM.NS
2018-10-04,DEEPAKFERT.NS
2018-10-04,DELTACORP.NS
2018-10-04,DEN.NS
2018-10-04,DENABANK.NS
2018-10-04,DHFL.NS
2018-10-04,DISHTV.NS
2018-10-04,DIVISLAB.NS
2018-10-04,DIXON.NS
2018-10-04,DLF.NS
2018-10-04,DMART.NS
2018-10-04,DREDGECORP.NS
2018-10-04,DRREDDY.NS
2018-10-04,ECLERX.NS
2018-10-04,EDELWEISS.NS
2018-10-04,EICHERMOT.NS
2018-10-04,EIDPARRY.NS
2018-10-04,EIHOTEL.NS
2018-10-04,ELGIEQUIP.NS
2018-10-04,EMAMILTD.NS
2018-10-04,ENDURANCE.NS
2018-10-04,ENGINERSIN.NS
2018-10-04,EQUITAS.NS
2018-10-04,ERIS.NS
2018-10-04,EROSMEDIA.NS
2018-10-04,ESCORTS.NS
2018-10-04,EVEREADY.NS
2018-10-04,EXCELCROP.NS
2018-10-04,EXIDEIND.NS
2018-10-04,FCONSUMER.NS
2018-10-04,FDC.NS
2018-10-04,FEDERALBNK.NS
2018-10-04,FINCABLES.NS
2018-10-04,FINPIPE.NS
2018-10-04,FLFL.NS
2018-10-04,FRETAIL.NS
2018-10-04,FSL.NS
2018-10-04,GAIL.NS
2018-10-04,GALAXYSURF.NS
2018-10-04,GAYAPROJ.NS
2018-10-04,GDL.NS
2018-10-04,GEPIL.NS
2018-10-04,GESHIP.NS
2018-10-04,GET&D.NS
2018-10-04,GHCL.NS
2018-10-04,GICRE.NS
2018-10-04,GILLETTE.NS
2018-10-04,GLAXO.NS
2018-10-04,GLENMARK.NS
2018-10-04,GMDCLTD.NS
2018-10-04,GMRINFRA.NS
2018-10-04,GNFC.NS
2018-10-04,GODFRYPHLP.NS
2018-10-04,GODREJAGRO.NS
2018-10-04,GODREJCP.NS
2018-10-04,GODREJIND.NS
2018-10-04,GODREJPROP.NS
2018-10-04,GPPL.NS
2018-10-04,GRANULES.NS
2018-10-04,GRAPHITE.NS
2018-10-04,GRASIM.NS
2018-10-04,GREAVESCOT.NS
2018-10-04,GREENPLY.NS
2018-10-04,GRINDWELL.NS
2018-10-04,GRUH.NS
2018-10-04,GSFC.NS
2018-10-04,GSKCONS.NS
2018-10-04,GSPL.NS
2018-10-04,GUJALKALI.NS
2018-10-04,GUJFLUORO.NS
2018-10-04,GUJGASLTD.NS
