effective_date,symbol
2015-06-01,3MINDIA.NS
2015-06-01,AARTIIND.NS
2015-06-01,ABAN.NS
2015-06-01,ABB.NS
2015-06-01,ABBOTINDIA.NS
2015-06-01,ABREL.NS
2015-06-01,ACC.NS
2015-06-01,ACCELYA.NS
2015-06-01,ACLGATI.NS
2015-06-01,ADANIENT.NS
2015-06-01,ADANIPORTS.NS
2015-06-01,ADANIPOWER.NS
2015-06-01,AEGISCHEM.NS
2015-06-01,AEGISLOG.NS
2015-06-01,AHLUCONT.NS
2015-06-01,AIAENG.NS
2015-06-01,AJANTPHARM.NS
2015-06-01,AKZOINDIA.NS
2015-06-01,AMARAJABAT.NS
2015-06-01,AMBUJACEM.NS
2015-06-01,ANDHRACEMT.NS
2015-06-01,ANDREWYU.NS
2015-06-01,APARINDS.NS
2015-06-01,APLLTD.NS
2015-06-01,APOLLOHOSP.NS
2015-06-01,APOLLOTYRE.NS
2015-06-01,ARE&M.NS
2015-06-01,ARVIND.NS
2015-06-01,ASAHIINDIA.NS
2015-06-01,ASHIANA.NS
2015-06-01,ASHOKA.NS
2015-06-01,ASHOKLEY.NS
2015-06-01,ASIANPAINT.NS
2015-06-01,ASTRAL.NS
2015-06-01,ASTRAZEN.NS
2015-06-01,ATFL.NS
2015-06-01,ATUL.NS
2015-06-01,AUROPHARMA.NS
2015-06-01,AVANTIFEED.NS
2015-06-01,AXISBANK.NS
2015-06-01,BAJAJ-AUTO.NS
2015-06-01,BAJAJCON.NS
2015-06-01,BAJAJELEC.NS
2015-06-01,BAJAJFINSV.NS
2015-06-01,BAJAJHIND.NS
2015-06-01,BAJAJHLDNG.NS
2015-06-01,BAJFINANCE.NS
2015-06-01,BALKRISIND.NS
2015-06-01,BALLARPUR.NS
2015-06-01,BALMLAWRIE.NS
2015-06-01,BANARISUG.NS
2015-06-01,BANKBARODA.NS
2015-06-01,BANKINDIA.NS
2015-06-01,BASF.NS
2015-06-01,BATAINDIA.NS
2015-06-01,BAYERCROP.NS
2015-06-01,BBTC.NS
2015-06-01,BEL.NS
2015-06-01,BEML.NS
2015-06-01,BERGEPAINT.NS
2015-06-01,BFUTILITIE.NS
2015-06-01,BHARATFORG.NS
2015-06-01,BHARTIARTL.NS
2015-06-01,BHEL.NS
2015-06-01,BIOCON.NS
2015-06-01,BIRLACORPN.NS
2015-06-01,BLUEDART.NS
2015-06-01,BLUESTARCO.NS
2015-06-01,BOMDYEING.NS
2015-06-01,BOSCHLTD.NS
2015-06-01,BPCL.NS
2015-06-01,BRFL.NS
2015-06-01,BRIGADE.NS
2015-06-01,BRITANNIA.NS
2015-06-01,BSOFT.NS
2015-06-01,CANBK.NS
2015-06-01,CARBORUNIV.NS
2015-06-01,CARERATING.NS
2015-06-01,CASTROLIND.NS
2015-06-01,CCL.NS
2015-06-01,CEATLTD.NS
2015-06-01,CENTRALBK.NS
2015-06-01,CENTURYPLY.NS
2015-06-01,CENTURYTEX.NS
2015-06-01,CERA.NS
2015-06-01,CESC.NS
2015-06-01,CGPOWER.NS
2015-06-01,CHAMBLFERT.NS
2015-06-01,CHOLAFIN.NS
2015-06-01,CHOLAHLDNG.NS
2015-06-01,CIEINDIA.NS
2015-06-01,CIPLA.NS
2015-06-01,CLCIND.NS
2015-06-01,COALINDIA.NS
2015-06-01,COFORGE.NS
2015-06-01,COLPAL.NS
2015-06-01,CONCOR.NS
2015-06-01,COROMANDEL.NS
2015-06-01,COX&KINGS.NS
2015-06-01,CPSEETF.NS
2015-06-01,CRISIL.NS
2015-06-01,CUB.NS
2015-06-01,CUMMINSIND.NS
2015-06-01,CYIENT.NS
2015-06-01,DABUR.NS
2015-06-01,DALBHARAT.NS
2015-06-01,DBCORP.NS
2015-06-01,DBREALTY.NS
2015-06-01,DCBBANK.NS
2015-06-01,DCMSHRIRAM.NS
2015-06-01,DELTACORP.NS
2015-06-01,DEN.NS
2015-06-01,DHANUKA.NS
2015-06-01,DHFL.NS
2015-06-01,DIACABS.NS
2015-06-01,DISHTV.NS
2015-06-01,DIVISLAB.NS
2015-06-01,DLF.NS
2015-06-01,DPSCLTD.NS
2015-06-01,DRREDDY.NS
2015-06-01,DYNAMATECH.NS
2015-06-01,ECLERX.NS
2015-06-01,EDELWEISS.NS
2015-06-01,EICHERMOT.NS
2015-06-01,EIDPARRY.NS
2015-06-01,EIHOTEL.NS
2015-06-01,ELGIEQUIP.NS
2015-06-01,EMAMILTD.NS
2015-06-01,ENGINERSIN.NS
2015-06-01,ENIL.NS
2015-06-01,EPL.NS
2015-06-01,EROSMEDIA.NS
2015-06-01,ESCORTS.NS
2015-06-01,EVEREADY.NS
2015-06-01,EXIDEIND.NS
2015-06-01,FACT.NS
2015-06-01,FCONSUMER.NS
2015-06-01,FDC.NS
2015-06-01,FEDERALBNK.NS
2015-06-01,FEL.NS
2015-06-01,FINCABLES.NS
2015-06-01,FINPIPE.NS
2015-06-01,FLFL.NS
2015-06-01,FMGOETZE.NS
2015-06-01,FORTIS.NS
2015-06-01,FSL.NS
2015-06-01,GABRIEL.NS
2015-06-01,GAIL.NS
2015-06-01,GATEWAY.NS
2015-06-01,GATI.NS
2015-06-01,GEPIL.NS
2015-06-01,GESHIP.NS
2015-06-01,GET&D.NS
2015-06-01,GILLETTE.NS
2015-06-01,GIPCL.NS
2015-06-01,GLAXO.NS
2015-06-01,GLENMARK.NS
2015-06-01,GLOBOFFS.NS
2015-06-01,GMDCLTD.NS
2015-06-01,GMRAIRPORT.NS
2015-06-01,GMRINFRA.NS
2015-06-01,GNFC.NS
2015-06-01,GODREJCP.NS
2015-06-01,GODREJIND.NS
2015-06-01,GODREJPROP.NS
2015-06-01,GOODYEAR.NS
2015-06-01,GPPL.NS
2015-06-01,GRANULES.NS
2015-06-01,GRAPHITE.NS
2015-06-01,GRASIM.NS
2015-06-01,GREAVESCOT.NS
2015-06-01,GREENPLY.NS
2015-06-01,GRINDWELL.NS
2015-06-01,GSFC.NS
2015-06-01,GSPL.NS
2015-06-01,GUJALKALI.NS
2015-06-01,GULFOILLUB.NS
2015-06-01,GVKPIL.NS
2015-06-01,GVPIL.NS
2015-06-01,GVT&D.NS
2015-06-01,HATHWAY.NS
2015-06-01,HATSUN.NS
2015-06-01,HAVELLS.NS
2015-06-01,HCC.NS
2015-06-01,HCL-INSYS.NS
2015-06-01,HCLTECH.NS
2015-06-01,HDFC.NS
2015-06-01,HDFCBANK.NS
2015-06-01,HDIL.NS
2015-06-01,HEIDELBERG.NS
2015-06-01,HEROMOTOCO.NS
2015-06-01,HEUBACHIND.NS
2015-06-01,HEXAWARE.NS
2015-06-01,HFCL.NS
2015-06-01,HGS.NS
2015-06-01,HINDALCO.NS
2015-06-01,HINDCOPPER.NS
2015-06-01,HINDPETRO.NS
2015-06-01,HINDUNILVR.NS
2015-06-01,HINDZINC.NS
2015-06-01,HMT.NS
2015-06-01,HMVL.NS
2015-06-01,HONAUT.NS
2015-06-01,HTMEDIA.NS
2015-06-01,HUHTAMAKI.NS
2015-06-01,IBREALEST.NS
2015-06-01,IBULHSGFIN.NS
2015-06-01,ICICIBANK.NS
2015-06-01,ICRA.NS
2015-06-01,IDBI.NS
2015-06-01,IDEA.NS
2015-06-01,IDFC.NS
2015-06-01,IFBIND.NS
2015-06-01,IFCI.NS
2015-06-01,IGL.NS
2015-06-01,IIFL-RE.NS
2015-06-01,IIFL.NS
2015-06-01,IL&FSTRANS.NS
2015-06-01,INDHOTEL.NS
2015-06-01,INDIACEM.NS
2015-06-01,INDIANB.NS
2015-06-01,INDOCO.NS
2015-06-01,INDUSINDBK.NS
2015-06-01,INDUSTOWER.NS
2015-06-01,INFY.NS
2015-06-01,INGERRAND.NS
2015-06-01,INOXLEISUR.NS
2015-06-01,IOB.NS
2015-06-01,IOC.NS
2015-06-01,IPCALAB.NS
2015-06-01,IRB.NS
2015-06-01,ITC.NS
2015-06-01,ITI.NS
2015-06-01,J&KBANK.NS
2015-06-01,JAGRAN.NS
2015-06-01,JAICORPLTD.NS
2015-06-01,JBFIND.NS
2015-06-01,JCHAC.NS
2015-06-01,JETAIRWAYS.NS
2015-06-01,JINDALSAW.NS
2015-06-01,JINDALSTEL.NS
2015-06-01,JISLDVREQS.NS
2015-06-01,JISLJALEQS.NS
2015-06-01,JKCEMENT.NS
2015-06-01,JKIL.NS
2015-06-01,JKLAKSHMI.NS
