effective_date,symbol
2015-06-01,3IINFOLTD.NS
2015-06-01,63MOONS.NS
2015-06-01,AARTIDRUGS.NS
2015-06-01,AGI.NS
2015-06-01,AJMERA.NS
2015-06-01,ALEMBICLTD.NS
2015-06-01,ALKYLAMINE.NS
2015-06-01,ALLCARGO.NS
2015-06-01,AMRUTANJAN.NS
2015-06-01,ANANTRAJ.NS
2015-06-01,ANDHRAPAP.NS
2015-06-01,ANSALAPI.NS
2015-06-01,ANTELOPUS.NS
2015-06-01,APCOTEXIND.NS
2015-06-01,APLAPOLLO.NS
2015-06-01,AQYLON.NS
2015-06-01,ARCOTECH.NS
2015-06-01,ASHAPURMIN.NS
2015-06-01,ASIANTILES.NS
2015-06-01,ASTRAMICRO.NS
2015-06-01,ATLANTA.NS
2015-06-01,ATLANTAA.NS
2015-06-01,ATULAUTO.NS
2015-06-01,AURIONPRO.NS
2015-06-01,AUTOAXLES.NS
2015-06-01,AVTNPL.NS
2015-06-01,AXISCADES.NS
2015-06-01,BALAJITELE.NS
2015-06-01,BALRAMCHIN.NS
2015-06-01,BANCOINDIA.NS
2015-06-01,BFINVEST.NS
2015-06-01,BGRENERGY.NS
2015-06-01,BIL.NS
2015-06-01,BINDALAGRO.NS
2015-06-01,BIRLANU.NS
2015-06-01,BLISSGVS.NS
2015-06-01,BUTTERFLY.NS
2015-06-01,BYKE.NS
2015-06-01,CAMLINFINE.NS
2015-06-01,CANFINHOME.NS
2015-06-01,CAPLIPOINT.NS
2015-06-01,CENTUM.NS
2015-06-01,CGCL.NS
2015-06-01,CHENNPETRO.NS
2015-06-01,CIGNITITEC.NS
2015-06-01,DATAMATICS.NS
2015-06-01,DCAL.NS
2015-06-01,DCW.NS
2015-06-01,DEEPAKFERT.NS
2015-06-01,DEEPAKNTR.NS
2015-06-01,DHANBANK.NS
2015-06-01,DHANI.NS
2015-06-01,DIAPOWER.NS
2015-06-01,DIGISPICE.NS
2015-06-01,DLINKINDIA.NS
2015-06-01,DREDGECORP.NS
2015-06-01,EIHAHOTELS.NS
2015-06-01,ELECON.NS
2015-06-01,ELECTCAST.NS
2015-06-01,ESABINDIA.NS
2015-06-01,ESSARSHPNG.NS
2015-06-01,EVERESTIND.NS
2015-06-01,EXPLEOSOL.NS
2015-06-01,FIEMIND.NS
2015-06-01,FLEXITUFF.NS
2015-06-01,FOSECOIND.NS
2015-06-01,GANESHHOUC.NS
2015-06-01,GAYAPROJ.NS
2015-06-01,GENUSPOWER.NS
2015-06-01,GEOJITFSL.NS
2015-06-01,GFLLIMITED.NS
2015-06-01,GHCL.NS
2015-06-01,GICHSGFIN.NS
2015-06-01,GODFRYPHLP.NS
2015-06-01,GPIL.NS
2015-06-01,GREENPOWER.NS
2015-06-01,GTLINFRA.NS
2015-06-01,HBLPOWER.NS
2015-06-01,HEG.NS
2015-06-01,HERITGFOOD.NS
2015-06-01,HIKAL.NS
2015-06-01,HIL.NS
2015-06-01,HIMATSEIDE.NS
2015-06-01,HINDCOMPOS.NS
2015-06-01,HINDNATGLS.NS
2015-06-01,HINDOILEXP.NS
2015-06-01,HITECHGEAR.NS
2015-06-01,HLVLTD.NS
2015-06-01,HONDAPOWER.NS
2015-06-01,HSCL.NS
2015-06-01,HUBTOWN.NS
2015-06-01,ICIL.NS
2015-06-01,IGARASHI.NS
2015-06-01,IL&FSENGG.NS
2015-06-01,IMFA.NS
2015-06-01,IMPAL.NS
2015-06-01,INDIANHUME.NS
2015-06-01,INDNIPPON.NS
2015-06-01,INDOSOLAR.NS
2015-06-01,INDRAMEDCO.NS
2015-06-01,INSECTICID.NS
2015-06-01,INTELLECT.NS
2015-06-01,ITDCEM.NS
2015-06-01,IVC.NS
2015-06-01,JAMNAAUTO.NS
2015-06-01,JAYNECOIND.NS
2015-06-01,JBCHEPHARM.NS
2015-06-01,JBMA.NS
2015-06-01,JINDALPOLY.NS
2015-06-01,JINDRILL.NS
2015-06-01,JKPAPER.NS
2015-06-01,JMCPROJECT.NS
2015-06-01,JMTAUTOLTD.NS
2015-06-01,JSWHL.NS
2015-06-01,JTEKTINDIA.NS
2015-06-01,KCP.NS
2015-06-01,KICL.NS
2015-06-01,KIRLFER.NS
2015-06-01,KIRLOSIND.NS
2015-06-01,KITEX.NS
2015-06-01,KOKUYOCMLN.NS
2015-06-01,KOVAI.NS
2015-06-01,KSL.NS
2015-06-01,LGBBROSLTD.NS
2015-06-01,LIBERTSHOE.NS
2015-06-01,LOVABLE.NS
2015-06-01,LUMAXTECH.NS
2015-06-01,MAHSCOOTER.NS
2015-06-01,MANGCHEFER.NS
2015-06-01,MANGLMCEM.NS
2015-06-01,MANINFRA.NS
2015-06-01,MBLINFRA.NS
2015-06-01,MEGH.NS
2015-06-01,MERCATOR.NS
2015-06-01,METALFORGE.NS
2015-06-01,MMFL.NS
2015-06-01,MONTECARLO.NS
2015-06-01,MOREPENLAB.NS
2015-06-01,MTEDUCARE.NS
2015-06-01,MUKANDLTD.NS
2015-06-01,MUNJALAU.NS
2015-06-01,MUNJALSHOW.NS
2015-06-01,NAVINFLUOR.NS
2015-06-01,NDTV.NS
2015-06-01,NECLIFE.NS
2015-06-01,NIFTYBEES.NS
2015-06-01,NILKAMAL.NS
2015-06-01,NITINFIRE.NS
2015-06-01,NOCIL.NS
2015-06-01,NOIDATOLL.NS
2015-06-01,NUCLEUS.NS
2015-06-01,NXTDIGITAL.NS
2015-06-01,ONMOBILE.NS
2015-06-01,OPTOCIRCUI.NS
2015-06-01,ORBTEXP.NS
2015-06-01,OSWALGREEN.NS
2015-06-01,PAISALO.NS
2015-06-01,PANACEABIO.NS
2015-06-01,PARSVNATH.NS
2015-06-01,PCBL.NS
2015-06-01,PDSL.NS
2015-06-01,PENIND.NS
2015-06-01,PENINLAND.NS
2015-06-01,PFOCUS.NS
2015-06-01,PNBGILTS.NS
2015-06-01,POLYPLEX.NS
2015-06-01,PRAJIND.NS
2015-06-01,PRAKASH.NS
2015-06-01,PROZONER.NS
2015-06-01,PUNJLLOYD.NS
2015-06-01,RADICO.NS
2015-06-01,RAJTV.NS
2015-06-01,RAMCOIND.NS
2015-06-01,RAMCOSYS.NS
2015-06-01,RANEHOLDIN.NS
2015-06-01,RAYMOND.NS
2015-06-01,RHIM.NS
2015-06-01,RICOAUTO.NS
2015-06-01,RIIL.NS
2015-06-01,RKFORGE.NS
2015-06-01,RML.NS
2015-06-01,RSSOFTWARE.NS
2015-06-01,RSWM.NS
2015-06-01,RSYSTEMS.NS
2015-06-01,SABTNL.NS
2015-06-01,SAGCEM.NS
2015-06-01,SANGHVIMOV.NS
2015-06-01,SARDAEN.NS
2015-06-01,SASKEN.NS
2015-06-01,SDBL.NS
2015-06-01,SECURKLOUD.NS
2015-06-01,SELAN.NS
2015-06-01,SHANTIGEAR.NS
2015-06-01,SHEMAROO.NS
2015-06-01,SHREYAS.NS
2015-06-01,SIYSIL.NS
2015-06-01,SKIL.NS
2015-06-01,SOMANYCERA.NS
2015-06-01,SOTL.NS
2015-06-01,SPECIALITY.NS
2015-06-01,SPIC.NS
2015-06-01,SPICEJET.NS
2015-06-01,SPLPETRO.NS
2015-06-01,SREEL.NS
2015-06-01,SSWL.NS
2015-06-01,STCINDIA.NS
2015-06-01,STYRENIX.NS
2015-06-01,SUDARSCHEM.NS
2015-06-01,SUMEETINDS.NS
2015-06-01,SUNFLAG.NS
2015-06-01,SUPREMEINF.NS
2015-06-01,SURYAROSNI.NS
2015-06-01,SUTLEJTEX.NS
2015-06-01,SWANENERGY.NS
2015-06-01,SWARAJENG.NS
2015-06-01,SWELECTES.NS
2015-06-01,TAJGVK.NS
2015-06-01,TAKE.NS
2015-06-01,TATASTLLP.NS
2015-06-01,TBZ.NS
2015-06-01,TCI.NS
2015-06-01,TDPOWERSYS.NS
2015-06-01,TEXINFRA.NS
2015-06-01,TFCILTD.NS
2015-06-01,TIIL.NS
2015-06-01,TIMETECHNO.NS
2015-06-01,TINPLATE.NS
2015-06-01,TITAGARH.NS
2015-06-01,TNPL.NS
2015-06-01,TRIDENT.NS
2015-06-01,TRIVENI.NS
2015-06-01,TVSSRICHAK.NS
2015-06-01,TWL.NS
2015-06-01,UFLEX.NS
2015-06-01,UNOMINDA.NS
2015-06-01,USHAMART.NS
2015-06-01,UVSL.NS
2015-06-01,VINDHYATEL.NS
2015-06-01,VIVIMEDLAB.NS
2015-06-01,VOLTAMP.NS
2015-06-01,VSTTILLERS.NS
2015-06-01,WAAREEINDO.NS
2015-06-01,WALCHANNAG.NS
2015-06-01,WELENT.NS
2015-06-01,XCHANGING.NS
2015-06-01,ZEELEARN.NS
2015-06-01,ZEEMEDIA.NS
2015-06-01,ZODIACLOTH.NS
2015-06-01,ZUARI.NS
2015-06-01,ZYDUSWELL.NS
2015-09-30,63MOONS.NS
2015-09-30,AGI.NS
2015-09-30,ALEMBICLTD.NS
2015-09-30,ALKYLAMINE.NS
2015-09-30,ALLCARGO.NS
2015-09-30,AMBIKCO.NS
2015-09-30,AMRUTANJAN.NS
2015-09-30,ANANTRAJ.NS
2015-09-30,ANDHRACEMT.NS
2015-09-30,ANDHRAPAP.NS
2015-09-30,ANDREWYU.NS
2015-09-30,APCOTEXIND.NS
2015-09-30,APLAPOLLO.NS
2015-09-30,AQYLON.NS
2015-09-30,ARCOTECH.NS
2015-09-30,ARROWGREEN.NS
2015-09-30,ARSHIYA.NS
2015-09-30,ASHAPURMIN.NS
2015-09-30,ASTRAMICRO.NS
2015-09-30,ATULAUTO.NS
2015-09-30,AUTOAXLES.NS
2015-09-30,AVTNPL.NS
2015-09-30,AXISCADES.NS
2015-09-30,BALAJITELE.NS
2015-09-30,BALRAMCHIN.NS
2015-09-30,BANARISUG.NS
2015-09-30,BANCOINDIA.NS
2015-09-30,BFINVEST.NS
2015-09-30,BGRENERGY.NS
2015-09-30,BIL.NS
2015-09-30,BINDALAGRO.NS
2015-09-30,BIRLANU.NS
2015-09-30,BKMINDST.NS
2015-09-30,BRIGADE.NS
2015-09-30,BSOFT.NS
2015-09-30,BYKE.NS
2015-09-30,CAMLINFINE.NS
2015-09-30,CENTUM.NS
2015-09-30,CGCL.NS
2015-09-30,CIGNITITEC.NS
2015-09-30,DEEPAKFERT.NS
2015-09-30,DEEPAKNTR.NS
2015-09-30,DHANI.NS
2015-09-30,DICIND.NS
2015-09-30,DIGISPICE.NS
2015-09-30,DLINKINDIA.NS
2015-09-30,DREDGECORP.NS
2015-09-30,EIHAHOTELS.NS
2015-09-30,ELECON.NS
2015-09-30,ELECTCAST.NS
2015-09-30,ESABINDIA.NS
2015-09-30,EVERESTIND.NS
2015-09-30,EXPLEOSOL.NS
2015-09-30,FLEXITUFF.NS
2015-09-30,FOSECOIND.NS
