effective_date,symbol
2015-06-01,3MINDIA.NS
2015-06-01,ABBOTINDIA.NS
2015-06-01,ADANIENT.NS
2015-06-01,ADANIPOWER.NS
2015-06-01,AIAENG.NS
2015-06-01,AJANTPHARM.NS
2015-06-01,AKZOINDIA.NS
2015-06-01,AMARAJABAT.NS
2015-06-01,APLLTD.NS
2015-06-01,APOLLOHOSP.NS
2015-06-01,APOLLOTYRE.NS
2015-06-01,ARE&M.NS
2015-06-01,ASHOKLEY.NS
2015-06-01,BAJAJCON.NS
2015-06-01,BAJAJFINSV.NS
2015-06-01,BAJAJHLDNG.NS
2015-06-01,BAJFINANCE.NS
2015-06-01,BALKRISIND.NS
2015-06-01,BALLARPUR.NS
2015-06-01,BASF.NS
2015-06-01,BATAINDIA.NS
2015-06-01,BAYERCROP.NS
2015-06-01,BERGEPAINT.NS
2015-06-01,BIOCON.NS
2015-06-01,BLUEDART.NS
2015-06-01,CESC.NS
2015-06-01,CGPOWER.NS
2015-06-01,CHOLAFIN.NS
2015-06-01,CIEINDIA.NS
2015-06-01,COROMANDEL.NS
2015-06-01,CPSEETF.NS
2015-06-01,CRISIL.NS
2015-06-01,CYIENT.NS
2015-06-01,DALBHARAT.NS
2015-06-01,DBCORP.NS
2015-06-01,DHFL.NS
2015-06-01,DIACABS.NS
2015-06-01,DISHTV.NS
2015-06-01,EIHOTEL.NS
2015-06-01,EMAMILTD.NS
2015-06-01,ENGINERSIN.NS
2015-06-01,EXIDEIND.NS
2015-06-01,FEDERALBNK.NS
2015-06-01,FORTIS.NS
2015-06-01,GESHIP.NS
2015-06-01,GET&D.NS
2015-06-01,GILLETTE.NS
2015-06-01,GLENMARK.NS
2015-06-01,GMDCLTD.NS
2015-06-01,GMRAIRPORT.NS
2015-06-01,GMRINFRA.NS
2015-06-01,GODREJIND.NS
2015-06-01,GODREJPROP.NS
2015-06-01,GPPL.NS
2015-06-01,GSPL.NS
2015-06-01,GVT&D.NS
2015-06-01,HATHWAY.NS
2015-06-01,HAVELLS.NS
2015-06-01,HEXAWARE.NS
2015-06-01,HINDCOPPER.NS
2015-06-01,HINDPETRO.NS
2015-06-01,HONAUT.NS
2015-06-01,IBULHSGFIN.NS
2015-06-01,IDFC.NS
2015-06-01,IFCI.NS
2015-06-01,IGL.NS
2015-06-01,IL&FSTRANS.NS
2015-06-01,INDHOTEL.NS
2015-06-01,INDIANB.NS
2015-06-01,IPCALAB.NS
2015-06-01,IRB.NS
2015-06-01,J&KBANK.NS
2015-06-01,JINDALSTEL.NS
2015-06-01,JPASSOCIAT.NS
2015-06-01,JSWDULUX.NS
2015-06-01,JSWENERGY.NS
2015-06-01,JSWISPL.NS
2015-06-01,JUBLFOOD.NS
2015-06-01,JUSTDIAL.NS
2015-06-01,KAJARIACER.NS
2015-06-01,KANSAINER.NS
2015-06-01,KARURVYSYA.NS
2015-06-01,KSCL.NS
2015-06-01,L&TFH.NS
2015-06-01,LICHSGFIN.NS
2015-06-01,LIQUIDBEES.NS
2015-06-01,LTF.NS
2015-06-01,M&MFIN.NS
2015-06-01,MAHINDCIE.NS
2015-06-01,MARICO.NS
2015-06-01,MBECL.NS
2015-06-01,MCX.NS
2015-06-01,MFSL.NS
2015-06-01,MMTC.NS
2015-06-01,MOIL.NS
2015-06-01,MPHASIS.NS
2015-06-01,MRF.NS
2015-06-01,MRPL.NS
2015-06-01,MUTHOOTFIN.NS
2015-06-01,NATCOPHARM.NS
