effective_date,symbol
2015-06-01,AARTIIND.NS
2015-06-01,ABAN.NS
2015-06-01,ABREL.NS
2015-06-01,ACCELYA.NS
2015-06-01,ACLGATI.NS
2015-06-01,AEGISCHEM.NS
2015-06-01,AEGISLOG.NS
2015-06-01,AHLUCONT.NS
2015-06-01,ANDHRACEMT.NS
2015-06-01,ANDREWYU.NS
2015-06-01,APARINDS.NS
2015-06-01,ARVIND.NS
2015-06-01,ASAHIINDIA.NS
2015-06-01,ASHIANA.NS
2015-06-01,ASHOKA.NS
2015-06-01,ASTRAL.NS
2015-06-01,ASTRAZEN.NS
2015-06-01,ATFL.NS
2015-06-01,ATUL.NS
2015-06-01,AVANTIFEED.NS
2015-06-01,BAJAJELEC.NS
2015-06-01,BAJAJHIND.NS
2015-06-01,BALMLAWRIE.NS
2015-06-01,BANARISUG.NS
2015-06-01,BBTC.NS
2015-06-01,BEML.NS
2015-06-01,BFUTILITIE.NS
2015-06-01,BIRLACORPN.NS
2015-06-01,BLUESTARCO.NS
2015-06-01,BOMDYEING.NS
2015-06-01,BRFL.NS
2015-06-01,BRIGADE.NS
2015-06-01,BSOFT.NS
2015-06-01,CARBORUNIV.NS
2015-06-01,CARERATING.NS
2015-06-01,CCL.NS
2015-06-01,CEATLTD.NS
2015-06-01,CENTURYPLY.NS
2015-06-01,CENTURYTEX.NS
2015-06-01,CERA.NS
2015-06-01,CHAMBLFERT.NS
2015-06-01,CHOLAHLDNG.NS
2015-06-01,CLCIND.NS
2015-06-01,COFORGE.NS
2015-06-01,COX&KINGS.NS
2015-06-01,CUB.NS
2015-06-01,DBREALTY.NS
2015-06-01,DCBBANK.NS
2015-06-01,DCMSHRIRAM.NS
2015-06-01,DELTACORP.NS
2015-06-01,DEN.NS
2015-06-01,DHANUKA.NS
2015-06-01,DPSCLTD.NS
2015-06-01,DYNAMATECH.NS
2015-06-01,ECLERX.NS
2015-06-01,EDELWEISS.NS
2015-06-01,EIDPARRY.NS
2015-06-01,ELGIEQUIP.NS
2015-06-01,ENIL.NS
2015-06-01,EPL.NS
2015-06-01,EROSMEDIA.NS
2015-06-01,ESCORTS.NS
2015-06-01,EVEREADY.NS
2015-06-01,FACT.NS
2015-06-01,FCONSUMER.NS
2015-06-01,FDC.NS
2015-06-01,FEL.NS
2015-06-01,FINCABLES.NS
2015-06-01,FINPIPE.NS
2015-06-01,FLFL.NS
2015-06-01,FMGOETZE.NS
2015-06-01,FSL.NS
2015-06-01,GABRIEL.NS
2015-06-01,GATEWAY.NS
2015-06-01,GATI.NS
2015-06-01,GEPIL.NS
2015-06-01,GIPCL.NS
2015-06-01,GLOBOFFS.NS
2015-06-01,GNFC.NS
2015-06-01,GOODYEAR.NS
2015-06-01,GRANULES.NS
2015-06-01,GRAPHITE.NS
2015-06-01,GREAVESCOT.NS
2015-06-01,GREENPLY.NS
2015-06-01,GRINDWELL.NS
2015-06-01,GSFC.NS
2015-06-01,GUJALKALI.NS
2015-06-01,GULFOILLUB.NS
2015-06-01,GVKPIL.NS
2015-06-01,GVPIL.NS
2015-06-01,HATSUN.NS
2015-06-01,HCC.NS
2015-06-01,HCL-INSYS.NS
2015-06-01,HDIL.NS
2015-06-01,HEIDELBERG.NS
2015-06-01,HEUBACHIND.NS
2015-06-01,HFCL.NS
2015-06-01,HGS.NS
2015-06-01,HMT.NS
2015-06-01,HMVL.NS
2015-06-01,HTMEDIA.NS
2015-06-01,HUHTAMAKI.NS
2015-06-01,IBREALEST.NS
2015-06-01,ICRA.NS
2015-06-01,IFBIND.NS
2015-06-01,IIFL-RE.NS
2015-06-01,IIFL.NS
2015-06-01,INDIACEM.NS
2015-06-01,INDOCO.NS
2015-06-01,INGERRAND.NS
2015-06-01,INOXLEISUR.NS
2015-06-01,ITI.NS
2015-06-01,JAGRAN.NS
2015-06-01,JAICORPLTD.NS
2015-06-01,JBFIND.NS
2015-06-01,JCHAC.NS
2015-06-01,JETAIRWAYS.NS
2015-06-01,JINDALSAW.NS
2015-06-01,JISLDVREQS.NS
2015-06-01,JISLJALEQS.NS
2015-06-01,JKCEMENT.NS
2015-06-01,JKIL.NS
2015-06-01,JKLAKSHMI.NS
2015-06-01,JKTYRE.NS
2015-06-01,JMFINANCIL.NS
2015-06-01,JPINFRATEC.NS
2015-06-01,JPPOWER.NS
2015-06-01,JUBLPHARMA.NS
2015-06-01,JUNIORBEES.NS
2015-06-01,JYOTHYLAB.NS
2015-06-01,KALPATPOWR.NS
2015-06-01,KEC.NS
2015-06-01,KENNAMET.NS
2015-06-01,KIRLOSBROS.NS
2015-06-01,KIRLOSENG.NS
2015-06-01,KKCL.NS
2015-06-01,KNRCON.NS
2015-06-01,KOLTEPATIL.NS
2015-06-01,KPIL.NS
2015-06-01,KPRMILL.NS
2015-06-01,KRBL.NS
2015-06-01,KSB.NS
2015-06-01,KSK.NS
2015-06-01,KTKBANK.NS
2015-06-01,LAKSHVILAS.NS
2015-06-01,LAOPALA.NS
2015-06-01,LAXMIMACH.NS
2015-06-01,LINDEINDIA.NS
2015-06-01,LMW.NS
2015-06-01,MAHLIFE.NS
2015-06-01,MAHSEAMLES.NS
2015-06-01,MANAPPURAM.NS
2015-06-01,MARKSANS.NS
2015-06-01,MAYURUNIQ.NS
2015-06-01,MCLEODRUSS.NS
2015-06-01,MHRIL.NS
2015-06-01,MINDACORP.NS
2015-06-01,MOTILALOFS.NS
2015-06-01,MPSLTD.NS
2015-06-01,MTNL.NS
2015-06-01,NAVA.NS
2015-06-01,NAVNETEDUL.NS
2015-06-01,NCC.NS
2015-06-01,NESCO.NS
2015-06-01,NFL.NS
2015-06-01,NOVARTIND.NS
2015-06-01,NRBBEARING.NS
2015-06-01,OMAXE.NS
2015-06-01,ORIENTCEM.NS
2015-06-01,ORISSAMINE.NS
2015-06-01,PATELENG.NS
2015-06-01,PCJEWELLER.NS
2015-06-01,PFS.NS
2015-06-01,PGHL.NS
2015-06-01,PHOENIXLTD.NS
2015-06-01,POLYMED.NS
2015-06-01,POONAWALLA.NS
2015-06-01,PRSMJOHNSN.NS
2015-06-01,PTC.NS
2015-06-01,PURVA.NS
2015-06-01,PVR.NS
2015-06-01,RAIN.NS
2015-06-01,RALLIS.NS
2015-06-01,RATNAMANI.NS
2015-06-01,RCF.NS
2015-06-01,RELAXO.NS
2015-06-01,RENUKA.NS
2015-06-01,REPCOHOME.NS
2015-06-01,RESPONIND.NS
2015-06-01,ROLTA.NS
2015-06-01,RTNPOWER.NS
2015-06-01,RUPA.NS
2015-06-01,SADBHAV.NS
2015-06-01,SANGHIIND.NS
2015-06-01,SANOFI.NS
2015-06-01,SCHNEIDER.NS
2015-06-01,SCI.NS
2015-06-01,SHARDACROP.NS
2015-06-01,SHILPAMED.NS
2015-06-01,SHOPERSTOP.NS
2015-06-01,SICAL.NS
2015-06-01,SIMPLEXINF.NS
2015-06-01,SITINET.NS
2015-06-01,SKFINDIA.NS
2015-06-01,SMLISUZU.NS
2015-06-01,SNOWMAN.NS
2015-06-01,SOBHA.NS
2015-06-01,SONATSOFTW.NS
2015-06-01,SOUTHBANK.NS
2015-06-01,SREINFRA.NS
2015-06-01,STAR.NS
2015-06-01,STLTECH.NS
2015-06-01,SUNCLAYLTD.NS
2015-06-01,SUNDRMFAST.NS
2015-06-01,SUNDROP.NS
2015-06-01,SUNTECK.NS
2015-06-01,SUPRAJIT.NS
2015-06-01,SWANCORP.NS
2015-06-01,TATACHEM.NS
2015-06-01,TATACOFFEE.NS
2015-06-01,TATAELXSI.NS
2015-06-01,TEXRAIL.NS
2015-06-01,THOMASCOOK.NS
2015-06-01,TIDEWATER.NS
2015-06-01,TIMKEN.NS
2015-06-01,TREEHOUSE.NS
2015-06-01,TRENT.NS
2015-06-01,TRITURBINE.NS
2015-06-01,TTKPRESTIG.NS
2015-06-01,TTML.NS
2015-06-01,TVSHLTD.NS
