effective_date,symbol
2015-06-01,3IINFOLTD.NS
2015-06-01,3MINDIA.NS
2015-06-01,63MOONS.NS
2015-06-01,AARTIDRUGS.NS
2015-06-01,AARTIIND.NS
2015-06-01,ABAN.NS
2015-06-01,ABBOTINDIA.NS
2015-06-01,ABREL.NS
2015-06-01,ACCELYA.NS
2015-06-01,ACLGATI.NS
2015-06-01,ADANIENT.NS
2015-06-01,ADANIPOWER.NS
2015-06-01,AEGISCHEM.NS
2015-06-01,AEGISLOG.NS
2015-06-01,AGI.NS
2015-06-01,AHLUCONT.NS
2015-06-01,AIAENG.NS
2015-06-01,AJANTPHARM.NS
2015-06-01,AJMERA.NS
2015-06-01,AKZOINDIA.NS
2015-06-01,ALEMBICLTD.NS
2015-06-01,ALKYLAMINE.NS
2015-06-01,ALLCARGO.NS
2015-06-01,AMARAJABAT.NS
2015-06-01,AMRUTANJAN.NS
2015-06-01,ANANTRAJ.NS
2015-06-01,ANDHRACEMT.NS
2015-06-01,ANDHRAPAP.NS
2015-06-01,ANDREWYU.NS
2015-06-01,ANSALAPI.NS
2015-06-01,ANTELOPUS.NS
2015-06-01,APARINDS.NS
2015-06-01,APCOTEXIND.NS
2015-06-01,APLAPOLLO.NS
2015-06-01,APLLTD.NS
2015-06-01,APOLLOHOSP.NS
2015-06-01,APOLLOTYRE.NS
2015-06-01,AQYLON.NS
2015-06-01,ARCOTECH.NS
2015-06-01,ARE&M.NS
2015-06-01,ARVIND.NS
2015-06-01,ASAHIINDIA.NS
2015-06-01,ASHAPURMIN.NS
2015-06-01,ASHIANA.NS
2015-06-01,ASHOKA.NS
2015-06-01,ASHOKLEY.NS
2015-06-01,ASIANTILES.NS
2015-06-01,ASTRAL.NS
2015-06-01,ASTRAMICRO.NS
2015-06-01,ASTRAZEN.NS
2015-06-01,ATFL.NS
2015-06-01,ATLANTA.NS
2015-06-01,ATLANTAA.NS
2015-06-01,ATUL.NS
2015-06-01,ATULAUTO.NS
2015-06-01,AURIONPRO.NS
2015-06-01,AUTOAXLES.NS
2015-06-01,AVANTIFEED.NS
2015-06-01,AVTNPL.NS
2015-06-01,AXISCADES.NS
2015-06-01,BAJAJCON.NS
2015-06-01,BAJAJELEC.NS
2015-06-01,BAJAJFINSV.NS
2015-06-01,BAJAJHIND.NS
2015-06-01,BAJAJHLDNG.NS
2015-06-01,BAJFINANCE.NS
2015-06-01,BALAJITELE.NS
2015-06-01,BALKRISIND.NS
2015-06-01,BALLARPUR.NS
2015-06-01,BALMLAWRIE.NS
2015-06-01,BALRAMCHIN.NS
