market,strategy,years,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Fee Commission,hold,variant,sharpe_num,sharpe
india,chandelier_breakout,1,"100,000.00","112,284.69",+12.28%,+1.21%,+12.44%,+18.40%,0.73,1.017,0.942,+76.30%,+76.30%,-13.21%,+41.51%,+14.05%,0.702,+98.80%,-0.46%,106,87,-2.04%,+1.15%,+62.38%,-22.16%,1.311,+1.15%,44,62,53,+43.40%,+0.29%,12.0,+16.67%,-4.75%,41.0,+46.34%,+4.01%,"2,276.91","2,048.15",152.52,60.83,2.05,11.32,2.05,+2.28%,+18.53%,,250,base,,0.73
india,chandelier_breakout,2,"100,000.00","87,000.56",-13.00%,-0.73%,-6.80%,+19.53%,-0.263,-0.345,-0.203,+35.55%,+35.55%,-33.48%,+32.74%,-5.85%,0.8,+98.06%,+0.51%,223,167,-3.55%,-0.59%,+62.38%,-30.63%,0.84,-0.59%,73,143,123,+27.64%,-1.60%,32.0,+28.12%,-3.97%,68.0,+44.12%,+2.82%,"3,952.79","3,553.33",267.18,105.53,3.55,19.64,3.55,+3.95%,-30.41%,,250,base,,-0.263
india,chandelier_breakout,3,"100,000.00","108,452.44",+8.45%,+0.26%,+2.80%,+18.51%,0.243,0.318,0.08,+65.99%,+65.99%,-34.91%,+38.25%,-2.45%,0.799,+98.16%,+25.92%,332,223,-3.27%,+0.27%,+80.94%,-30.63%,1.061,+0.27%,127,205,231,+37.66%,+0.08%,33.0,+30.30%,-3.43%,68.0,+44.12%,+2.71%,"7,200.25","6,474.79",484.44,192.3,6.47,35.78,6.47,+7.20%,+85.19%,,250,base,,0.243
india,chandelier_breakout,5,"100,000.00","120,288.66",+20.29%,+0.39%,+3.83%,+18.26%,0.298,0.397,0.108,+74.38%,+74.38%,-35.44%,+36.97%,-1.36%,0.744,+97.67%,+49.54%,541,289,-3.30%,+0.51%,+121.72%,-30.63%,1.089,+0.51%,200,341,362,+35.64%,+0.15%,80.0,+37.50%,+0.58%,99.0,+41.41%,+1.74%,"11,714.78","10,534.89",787.72,312.89,10.53,58.22,10.53,+11.71%,+57.74%,,250,base,,0.298
india,momentum_quality,1,"100,000.00","103,266.71",+3.27%,+1.84%,+3.31%,+16.53%,0.281,0.366,0.291,+60.80%,+60.80%,-11.38%,+55.56%,+4.45%,0.722,+74.52%,-0.46%,18,17,+3.57%,+2.08%,+49.70%,-59.12%,1.223,+2.08%,10,8,8,+37.50%,-2.61%,,,,10.0,+70.00%,+5.83%,399.09,359.07,26.66,10.66,0.36,1.98,0.36,+0.40%,+12.22%,,126,base,,0.281
india,momentum_quality,2,"100,000.00","100,743.11",+0.74%,+0.21%,+0.38%,+18.07%,0.111,0.151,0.015,+56.20%,+56.20%,-24.68%,+47.37%,+1.06%,0.853,+87.37%,+0.51%,38,29,-2.28%,-0.23%,+85.23%,-59.12%,1.023,-0.23%,18,20,19,+21.05%,-11.60%,,,,19.0,+73.68%,+11.13%,779.72,701.15,52.47,20.82,0.7,3.87,0.7,+0.78%,+104.93%,,126,base,,0.111
india,momentum_quality,3,"100,000.00","177,258.28",+77.26%,+14.58%,+21.52%,+12.55%,1.617,2.327,2.211,+99.61%,+99.61%,-9.74%,+60.38%,+16.18%,0.607,+84.57%,+25.92%,53,36,+9.88%,+14.58%,+91.12%,-59.12%,3.727,+14.58%,32,21,36,+58.33%,+16.03%,2.0,+50.00%,-0.33%,15.0,+66.67%,+13.07%,"1,259.00","1,137.26",79.41,33.78,1.14,6.28,1.14,+1.26%,+1.63%,,126,base,,1.617
india,momentum_quality,5,"100,000.00","220,928.80",+120.93%,+14.24%,+17.53%,+13.50%,1.264,1.774,0.688,+99.67%,+99.67%,-25.47%,+64.71%,+12.22%,0.605,+83.27%,+49.54%,85,53,+8.76%,+14.18%,+147.15%,-59.12%,3.441,+14.18%,55,30,58,+58.62%,+12.25%,11.0,+81.82%,+26.28%,16.0,+75.00%,+12.85%,"2,013.69","1,818.80",127.19,54.02,1.82,10.05,1.82,+2.01%,+1.67%,,126,base,,1.264
india,nifty_momentum,1,"100,000.00","92,862.23",-7.14%,-3.59%,-7.22%,+23.12%,-0.208,-0.29,-0.364,+41.81%,+41.81%,-19.86%,+40.00%,-5.22%,1.361,+98.40%,-0.46%,20,20,-3.77%,-3.59%,+28.48%,-40.13%,0.578,-3.59%,8,12,20,+40.00%,-3.59%,,,,,,,434.85,390.52,29.79,11.6,0.39,2.16,0.39,+0.43%,-6.09%,,126,base,,-0.208
india,nifty_momentum,2,"100,000.00","91,555.42",-8.44%,-2.22%,-4.37%,+26.21%,-0.038,-0.052,-0.145,+47.85%,+47.85%,-30.21%,+47.50%,-2.30%,1.172,+97.80%,+0.51%,40,35,-0.22%,-1.75%,+71.60%,-61.33%,0.841,-1.75%,19,20,20,+40.00%,-13.35%,10.0,+40.00%,-0.09%,10.0,+70.00%,+19.80%,838.64,753.51,57.08,22.38,0.75,4.16,0.75,+0.84%,-9.93%,,126,base,,-0.038
