market,strategy,years,hold,variant,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return
india,mom_lowvol_combo,3,63,regime_top15,"100,000.00","148,138.06",+48.14%,+4.81%,+14.32%,+9.99%,+1.390,+2.016,+0.949,+99.04%,+99.04%,-15.09%,+51.33%,+9.68%,+0.533,+86.38%,+25.92%,150,72,+0.78%,+4.81%,+88.08%,-37.77%,+2.157,+4.81%,77,73,135,+48.15%,+4.19%,15,+80.00%,+10.47%,"2,274.10","2,048.04",149.82,60.83,2.05,11.32,2.05,+2.27%,+4.72%,,,
india,mom_lowvol_combo,3,63,regime_trail15,"100,000.00","142,882.17",+42.88%,+3.67%,+12.92%,+10.06%,+1.258,+1.814,+0.722,+98.26%,+98.26%,-17.90%,+48.72%,+8.42%,+0.525,+84.12%,+25.92%,117,50,-0.77%,+3.67%,+76.94%,-15.27%,+1.935,+3.67%,57,60,99,+45.45%,+3.61%,17,+64.71%,+4.08%,"2,643.74","2,380.05",175.09,70.69,2.38,13.15,2.38,+2.64%,+6.17%,1,+100.00%,+2.69%
india,momentum_quality,3,126,regime_top15,"100,000.00","148,859.60",+48.86%,+17.45%,+14.51%,+8.68%,+1.605,+2.325,+2.237,+99.60%,+99.60%,-6.49%,+64.29%,+11.09%,+0.391,+47.99%,+25.92%,42,30,+9.60%,+17.45%,+91.12%,-29.19%,+5.002,+17.45%,27,15,35,+62.86%,+17.64%,7,+71.43%,+16.51%,673.48,608.87,41.95,18.08,0.61,3.36,0.61,+0.67%,+1.38%,,,
india,momentum_quality,3,126,regime_top20,"100,000.00","136,644.70",+36.64%,+17.45%,+11.22%,+6.91%,+1.573,+2.270,+2.134,+99.53%,+99.53%,-5.26%,+64.29%,+8.49%,+0.313,+35.99%,+25.92%,42,30,+9.60%,+17.45%,+91.12%,-29.19%,+5.002,+17.45%,27,15,35,+62.86%,+17.64%,7,+71.43%,+16.51%,505.11,456.65,31.46,13.56,0.46,2.52,0.46,+0.51%,+1.38%,,,
india,momentum_quality,3,126,regime_trail15,"100,000.00","142,319.66",+42.32%,+6.13%,+12.77%,+9.92%,+1.262,+1.798,+1.093,+98.19%,+98.19%,-11.69%,+47.83%,+9.61%,+0.382,+49.78%,+25.92%,69,30,-1.93%,+6.13%,+90.29%,-16.50%,+2.304,+6.13%,33,36,58,+44.83%,+5.65%,11,+63.64%,+8.68%,"1,578.58","1,422.26",103.38,42.24,1.42,7.86,1.42,+1.58%,+3.73%,,,
india,momentum_quality,3,126,regime_trail20,"100,000.00","155,834.08",+55.83%,+10.95%,+16.31%,+10.66%,+1.471,+2.106,+1.794,+99.18%,+99.18%,-9.09%,+49.02%,+12.66%,+0.431,+57.73%,+25.92%,51,30,-1.93%,+10.95%,+91.12%,-20.26%,+2.910,+10.95%,25,26,41,+48.78%,+11.38%,10,+50.00%,+9.19%,"1,192.27","1,075.82",76.41,31.95,1.08,5.94,1.08,+1.19%,+2.14%,,,
india,momentum_quality,3,63,regime,"100,000.00","149,201.20",+49.20%,+10.93%,+14.60%,+7.81%,+1.784,+2.707,+1.906,+99.85%,+99.85%,-7.66%,+62.22%,+12.24%,+0.273,+38.87%,+25.92%,45,30,+6.53%,+10.93%,+96.95%,-26.62%,+3.770,+10.93%,28,17,38,+57.89%,+9.09%,7,+85.71%,+20.93%,"1,051.94",949.19,67.42,28.19,0.95,5.25,0.95,+1.05%,+2.14%,,,
india,momentum_quality,5,126,regime_top15,"100,000.00","194,241.74",+94.24%,+18.15%,+14.48%,+10.04%,+1.398,+1.989,+0.777,+99.86%,+99.86%,-18.63%,+66.67%,+10.67%,+0.425,+53.34%,+49.54%,78,47,+9.60%,+18.15%,+280.25%,-41.59%,+4.156,+18.15%,52,26,59,+59.32%,+12.29%,18,+88.89%,+38.37%,"1,252.81","1,132.84",77.80,33.65,1.13,6.26,1.13,+1.25%,+1.33%,1,+100.00%,+0.22%
india,momentum_quality,5,126,regime_trail15,"100,000.00","161,268.78",+61.27%,+4.89%,+10.23%,+10.18%,+1.008,+1.426,+0.638,+98.55%,+98.55%,-16.02%,+46.46%,+7.30%,+0.351,+52.63%,+49.54%,127,47,-1.08%,+4.79%,+90.29%,-16.50%,+2.090,+4.79%,59,68,99,+39.39%,+3.01%,25,+76.00%,+13.61%,"2,850.27","2,566.99",187.72,76.24,2.57,14.19,2.57,+2.85%,+4.65%,3,+33.33%,-10.11%
india,momentum_quality,5,63,regime,"100,000.00","156,604.69",+56.60%,+7.11%,+9.57%,+10.57%,+0.918,+1.301,+0.370,+97.71%,+97.71%,-25.88%,+58.02%,+6.79%,+0.342,+41.87%,+49.54%,81,47,+4.00%,+8.38%,+109.90%,-51.06%,+2.208,+8.38%,47,34,60,+48.33%,+3.03%,21,+85.71%,+23.67%,"1,830.52","1,649.75",119.35,49.00,1.65,9.12,1.65,+1.83%,+3.23%,,,
india,nifty_momentum,3,126,regime_top15,"100,000.00","192,136.35",+92.14%,+18.43%,+24.91%,+15.30%,+1.531,+2.142,+1.594,+99.34%,+99.34%,-15.62%,+62.67%,+19.85%,+0.609,+86.06%,+25.92%,75,61,+10.14%,+18.43%,+177.13%,-44.89%,+3.302,+18.43%,47,28,60,+63.33%,+20.16%,15,+60.00%,+11.48%,"1,207.73","1,092.16",74.91,32.44,1.09,6.04,1.09,+1.21%,+1.31%,,,
india,nifty_momentum,3,126,regime_trail15,"100,000.00","123,534.39",+23.53%,+1.21%,+7.46%,+16.77%,+0.514,+0.685,+0.270,+80.66%,+80.66%,-27.62%,+36.41%,+3.26%,+0.620,+81.63%,+25.92%,195,89,-5.68%,+1.29%,+158.49%,-59.29%,+1.192,+1.29%,71,124,159,+37.11%,+2.16%,33,+30.30%,-4.46%,"4,341.73","3,905.52",290.82,115.99,3.91,21.58,3.91,+4.34%,+18.45%,3,+66.67%,+18.27%
india,nifty_momentum,3,63,regime_trail15,"100,000.00","120,289.39",+20.29%,+0.95%,+6.49%,+16.69%,+0.461,+0.614,+0.232,+78.17%,+78.17%,-27.97%,+38.32%,+2.30%,+0.621,+81.13%,+25.92%,214,94,-3.99%,+1.02%,+77.85%,-59.29%,+1.159,+1.02%,82,132,177,+38.98%,+1.80%,34,+32.35%,-3.96%,"4,760.94","4,282.24",319.29,127.18,4.28,23.66,4.28,+4.76%,+23.47%,3,+66.67%,+11.33%
india,nifty_momentum,5,126,regime_trail15,"100,000.00","207,314.05",+107.31%,+3.20%,+16.01%,+15.54%,+1.034,+1.446,+0.527,+98.74%,+98.74%,-30.39%,+36.90%,+11.79%,+0.538,+84.15%,+49.54%,336,133,-5.41%,+3.22%,+206.65%,-59.29%,+1.512,+3.22%,124,212,257,+35.02%,+1.59%,66,+48.48%,+11.21%,"7,561.61","6,806.38",501.86,202.15,6.81,37.61,6.81,+7.56%,+7.05%,13,+15.38%,-5.21%
