market,strategy,years,hold,variant,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return
india,momentum_quality,3,42,r,"100,000.00","133,874.80",+33.87%,+4.58%,+10.45%,+9.40%,+1.104,+1.557,+0.814,+96.75%,+96.75%,-12.83%,+58.11%,+7.75%,+0.334,+42.94%,+25.92%,74,30,+2.18%,+4.58%,+53.78%,-23.82%,+2.090,+4.58%,43,31,67,+56.72%,+3.82%,7,+71.43%,+11.86%,"1,681.02","1,513.80",110.87,44.96,1.51,8.37,1.51,+1.68%,+4.96%,,,
india,momentum_quality,3,63,r_iv,"100,000.00","149,201.20",+49.20%,+10.93%,+14.60%,+7.81%,+1.784,+2.707,+1.906,+99.85%,+99.85%,-7.66%,+62.22%,+12.24%,+0.273,+38.87%,+25.92%,45,30,+6.53%,+10.93%,+96.95%,-26.62%,+3.770,+10.93%,28,17,38,+57.89%,+9.09%,7,+85.71%,+20.93%,"1,051.94",949.19,67.42,28.19,0.95,5.25,0.95,+1.05%,+2.14%,,,
india,momentum_quality,3,63,r_s15,"100,000.00","141,808.64",+41.81%,+8.04%,+12.63%,+8.11%,+1.508,+2.223,+1.368,+99.39%,+99.39%,-9.24%,+53.85%,+10.19%,+0.289,+38.70%,+25.92%,52,30,+3.56%,+8.04%,+96.95%,-16.27%,+2.593,+8.04%,28,24,41,+53.66%,+7.73%,11,+54.55%,+9.20%,"1,199.95","1,081.78",77.91,32.13,1.08,5.98,1.08,+1.20%,+2.87%,,,
india,momentum_quality,3,63,r_t15,"100,000.00","132,800.80",+32.80%,+10.93%,+10.14%,+5.62%,+1.747,+2.634,+1.798,+99.81%,+99.81%,-5.64%,+62.22%,+8.44%,+0.197,+25.91%,+25.92%,45,30,+6.53%,+10.93%,+96.95%,-26.62%,+3.770,+10.93%,28,17,38,+57.89%,+9.09%,7,+85.71%,+20.93%,701.29,632.79,44.95,18.79,0.63,3.50,0.63,+0.70%,+2.14%,,,
india,momentum_quality,3,63,r_t15_s15,"100,000.00","127,872.43",+27.87%,+8.04%,+8.73%,+5.82%,+1.468,+2.149,+1.283,+99.26%,+99.26%,-6.81%,+53.85%,+6.96%,+0.208,+25.80%,+25.92%,52,30,+3.56%,+8.04%,+96.95%,-16.27%,+2.593,+8.04%,28,24,41,+53.66%,+7.73%,11,+54.55%,+9.20%,799.97,721.18,51.94,21.42,0.72,3.99,0.72,+0.80%,+2.87%,,,
india,momentum_quality,3,63,r_t20,"100,000.00","124,600.60",+24.60%,+10.93%,+7.78%,+4.40%,+1.726,+2.594,+1.741,+99.79%,+99.79%,-4.47%,+62.22%,+6.45%,+0.154,+19.43%,+25.92%,45,30,+6.53%,+10.93%,+96.95%,-26.62%,+3.770,+10.93%,28,17,38,+57.89%,+9.09%,7,+85.71%,+20.93%,525.97,474.59,33.71,14.10,0.47,2.62,0.47,+0.53%,+2.14%,,,
india,momentum_quality,3,84,r,"100,000.00","148,495.97",+48.50%,+10.78%,+14.41%,+9.88%,+1.412,+2.021,+1.096,+99.05%,+99.05%,-13.15%,+55.56%,+11.32%,+0.370,+51.62%,+25.92%,45,30,+5.00%,+10.78%,+120.13%,-33.04%,+2.923,+10.78%,25,20,38,+55.26%,+8.64%,7,+57.14%,+22.40%,"1,051.21",948.48,67.42,28.17,0.95,5.24,0.95,+1.05%,+2.17%,,,
india,momentum_quality,5,63,r_t15,"100,000.00","146,041.34",+46.04%,+8.32%,+8.02%,+7.32%,+1.091,+1.571,+0.435,+99.12%,+99.12%,-18.43%,+57.83%,+5.99%,+0.236,+28.61%,+49.54%,83,47,+4.00%,+8.32%,+109.90%,-51.06%,+2.452,+8.32%,48,35,61,+49.18%,+3.26%,21,+85.71%,+23.67%,"1,278.49","1,152.67",82.90,34.23,1.15,6.37,1.15,+1.28%,+2.78%,1,+0.00%,-5.40%
india,nifty_momentum,3,63,r_t15,"100,000.00","139,123.24",+39.12%,+3.91%,+11.90%,+16.98%,+0.748,+0.997,+0.602,+89.41%,+89.41%,-19.76%,+53.33%,+6.70%,+0.713,+86.37%,+25.92%,150,94,+2.86%,+3.91%,+97.11%,-60.56%,+1.562,+3.91%,80,70,135,+50.37%,+2.80%,15,+80.00%,+13.93%,"2,264.74","2,039.02",149.82,60.56,2.04,11.27,2.04,+2.26%,+5.79%,,,
india,rs_trend,3,63,r_t15,"100,000.00","158,068.27",+58.07%,+5.81%,+16.87%,+17.62%,+0.974,+1.323,+1.110,+94.71%,+94.71%,-15.20%,+50.00%,+11.75%,+0.693,+86.38%,+25.92%,150,92,+0.63%,+5.81%,+110.08%,-60.56%,+1.817,+5.81%,75,75,135,+45.93%,+4.13%,15,+86.67%,+20.86%,"2,284.41","2,057.98",149.82,61.12,2.06,11.37,2.06,+2.28%,+3.93%,,,
