market,strategy,years,hold,variant,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return
india,quality_mom_lowvol,1,63,r,"100,000.00","100,068.98",+0.07%,+0.09%,+0.07%,+5.83%,+0.041,+0.055,+0.010,+51.63%,+51.63%,-6.68%,+50.00%,+0.22%,+0.050,+20.48%,-0.46%,8,8,+1.71%,+0.09%,+29.08%,-26.15%,+1.013,+0.09%,4,4,8,+50.00%,+0.09%,178.00,160.06,11.99,4.75,0.16,0.88,0.16,+0.18%,+258.04%,,,,,,
india,quality_mom_lowvol,3,63,r,"100,000.00","149,010.57",+49.01%,+10.89%,+14.55%,+7.82%,+1.776,+2.695,+1.897,+99.84%,+99.84%,-7.67%,+62.22%,+12.19%,+0.273,+38.87%,+25.92%,45,30,+6.53%,+10.89%,+96.95%,-26.62%,+3.759,+10.89%,28,17,38,+57.89%,+9.04%,"1,051.74",949.00,67.42,28.19,0.95,5.24,0.95,+1.05%,+2.15%,7,+85.71%,+20.93%,,,
india,quality_mom_lowvol,5,63,r,"100,000.00","154,948.83",+54.95%,+6.90%,+9.33%,+10.55%,+0.898,+1.269,+0.362,+97.46%,+97.46%,-25.79%,+58.02%,+6.54%,+0.344,+41.87%,+49.54%,81,47,+4.00%,+8.40%,+109.90%,-51.06%,+2.176,+8.40%,47,34,60,+48.33%,+3.05%,"1,829.36","1,648.60",119.39,48.96,1.65,9.11,1.65,+1.83%,+3.33%,21,+85.71%,+23.67%,,,
india,supertrend_expr,1,250,r,"100,000.00","89,735.38",-10.26%,-1.70%,-10.38%,+17.59%,-0.535,-0.723,-0.393,+29.69%,+29.69%,-26.44%,+29.03%,-9.21%,+0.636,+64.56%,-0.46%,62,49,-3.77%,-1.62%,+59.11%,-23.27%,+0.681,-1.62%,18,44,51,+31.37%,+0.28%,"1,334.59","1,199.33",90.62,35.62,1.20,6.63,1.20,+1.33%,-13.00%,10,+20.00%,-9.60%,1,+0.00%,-18.29%
india,supertrend_expr,3,250,r,"100,000.00","136,020.28",+36.02%,+1.98%,+11.04%,+16.37%,+0.723,+0.972,+0.572,+88.45%,+88.45%,-19.32%,+41.21%,+6.16%,+0.670,+82.97%,+25.92%,182,104,-2.46%,+2.01%,+165.20%,-32.82%,+1.460,+2.01%,75,107,143,+41.26%,+3.06%,"4,080.16","3,671.17",272.33,109.03,3.67,20.29,3.67,+4.08%,+11.33%,38,+42.11%,-1.40%,1,+0.00%,-18.29%
india,supertrend_expr,5,250,r,"100,000.00","143,684.70",+43.68%,+1.36%,+7.66%,+17.07%,+0.519,+0.687,+0.244,+86.99%,+86.99%,-31.41%,+34.55%,+2.16%,+0.734,+85.67%,+49.54%,330,148,-3.38%,+1.36%,+188.44%,-32.82%,+1.295,+1.36%,114,216,246,+34.15%,+1.60%,"7,191.66","6,469.43",481.39,192.14,6.47,35.75,6.47,+7.19%,+16.46%,80,+37.50%,+1.39%,4,+0.00%,-13.97%
india,turtle_breakout,1,250,r,"100,000.00","91,260.96",-8.74%,-1.37%,-8.84%,+14.99%,-0.542,-0.708,-0.370,+29.34%,+29.34%,-23.91%,+33.33%,-8.03%,+0.624,+69.24%,-0.46%,66,59,-3.21%,-1.30%,+33.81%,-19.83%,+0.695,-1.30%,22,44,53,+35.85%,-1.20%,"1,411.52","1,268.60",95.69,37.68,1.27,7.01,1.27,+1.41%,-16.15%,12,+16.67%,-4.67%,1,+100.00%,+33.81%
india,turtle_breakout,3,250,r,"100,000.00","107,503.29",+7.50%,+0.33%,+2.49%,+15.90%,+0.235,+0.315,+0.067,+65.54%,+65.54%,-36.98%,+36.84%,-1.36%,+0.586,+82.43%,+25.92%,228,162,-2.03%,+0.33%,+57.87%,-38.91%,+1.073,+0.33%,84,144,179,+40.22%,+1.56%,"5,076.47","4,565.09",341.44,135.58,4.57,25.23,4.57,+5.08%,+67.66%,46,+23.91%,-4.73%,3,+33.33%,+4.84%
india,turtle_breakout,5,250,r,"100,000.00","142,815.54",+42.82%,+1.08%,+7.53%,+15.29%,+0.552,+0.766,+0.250,+88.73%,+88.73%,-30.12%,+36.11%,+3.31%,+0.565,+84.44%,+49.54%,396,227,-2.49%,+1.08%,+179.91%,-38.91%,+1.243,+1.08%,143,253,299,+37.79%,+1.88%,"8,822.97","7,936.20",591.34,235.71,7.94,43.86,7.94,+8.82%,+20.61%,91,+31.87%,-1.46%,6,+16.67%,+0.07%
india,vwap_reversion,1,20,r,"100,000.00","86,576.02",-13.42%,-0.74%,-13.57%,+10.78%,-1.299,-1.763,-0.791,+10.09%,+10.09%,-17.17%,+55.49%,-13.20%,+0.384,+48.48%,-0.46%,182,121,+0.61%,-0.74%,+8.80%,-22.60%,+0.622,-0.74%,101,81,170,+55.29%,-0.84%,"3,994.52","3,590.83",270.02,106.65,3.59,19.84,3.59,+3.99%,-29.76%,11,+63.64%,+1.12%,1,+0.00%,-4.36%
india,vwap_reversion,3,20,r,"100,000.00","84,442.84",-15.56%,-0.34%,-5.60%,+10.04%,-0.523,-0.687,-0.231,+18.18%,+18.18%,-24.28%,+55.13%,-7.86%,+0.337,+39.97%,+25.92%,468,137,+0.40%,-0.31%,+17.02%,-31.79%,+0.799,-0.31%,258,210,446,+54.48%,-0.36%,"10,228.86","9,196.38",690.13,273.13,9.20,50.82,9.20,+10.23%,-65.75%,22,+68.18%,+0.84%,,,
