market,strategy,years,hold,variant,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Fee Commission,sharpe
india,cmf_flow_factor,1,63,base,"100,000.00","101,054.62",+1.05%,+0.28%,+1.07%,+18.98%,+0.151,+0.213,+0.042,+55.95%,+55.95%,-25.63%,+42.50%,+2.87%,+1.006,+99.60%,-0.82%,40,37,-1.49%,+0.87%,+39.67%,-37.89%,+1.045,+0.87%,17,22,30,+30.00%,-2.88%,10,+80.00%,+12.13%,845.69,760.49,56.89,22.59,0.76,4.20,0.76,+0.85%,+80.19%,,,,,0.151
india,deep_value,1,126,base,"100,000.00","106,955.86",+6.96%,+23.19%,+7.04%,+5.68%,+1.226,+2.028,+1.794,+89.29%,+89.29%,-3.92%,+66.67%,+7.21%,+0.050,+12.36%,-0.82%,3,2,+29.87%,+23.19%,+46.74%,-7.05%,+10.870,+23.19%,2,1,1,+100.00%,+29.87%,2,+50.00%,+19.85%,73.95,66.96,4.49,1.99,0.07,0.37,0.07,+0.07%,+1.06%,,,,,1.226
india,delivery_accumulation,1,63,base,"100,000.00","119,670.16",+19.67%,+1.94%,+19.93%,+18.67%,+1.067,+1.599,+1.808,+85.61%,+85.61%,-11.03%,+47.06%,+21.99%,+0.843,+99.60%,-0.82%,51,39,-0.67%,+1.93%,+54.54%,-58.97%,+1.403,+1.93%,24,27,30,+53.33%,+3.09%,19,+42.11%,+1.22%,"1,133.11","1,019.51",75.64,30.28,1.02,5.63,1.02,+1.13%,+11.54%,2,+0.00%,-8.76%,,1.067
india,garp,1,126,base,"100,000.00","101,257.16",+1.26%,+1.14%,+1.27%,+12.77%,+0.164,+0.209,+0.116,+56.35%,+56.35%,-11.00%,+72.73%,+2.10%,+0.419,+36.12%,-0.82%,11,11,+9.84%,+1.14%,+21.01%,-59.28%,+1.134,+1.14%,8,3,2,+0.00%,-17.14%,9,+88.89%,+5.21%,245.96,221.24,16.48,6.57,0.22,1.22,0.22,+0.25%,+19.56%,,,,,0.164
india,keltner_squeeze_breakout,1,250,base,"100,000.00","97,774.32",-2.23%,-0.14%,-2.25%,+18.89%,-0.026,-0.034,-0.098,+48.99%,+48.99%,-22.88%,+33.33%,-0.51%,+0.768,+98.28%,-0.82%,165,130,-3.00%,-0.09%,+59.11%,-15.75%,+0.961,-0.09%,55,110,82,+35.37%,+0.88%,67,+37.31%,+0.22%,"3,446.46","3,098.79",232.32,92.03,3.10,17.12,3.10,+3.45%,-154.85%,16,+6.25%,-6.33%,,-0.026
india,momentum_quality_pe60,1,63,base,"100,000.00","106,118.31",+6.12%,+2.92%,+6.19%,+12.44%,+0.546,+0.698,+0.548,+69.59%,+69.59%,-11.31%,+71.43%,+7.02%,+0.352,+48.08%,-0.82%,21,16,+5.93%,+2.93%,+29.08%,-58.96%,+1.532,+2.93%,15,6,7,+42.86%,-0.39%,14,+85.71%,+4.59%,472.80,425.54,31.42,12.64,0.43,2.35,0.43,+0.47%,+7.73%,,,,,0.546
india,nifty_momentum,1,126,base,"100,000.00","94,122.80",-5.88%,-2.96%,-5.95%,+23.15%,-0.149,-0.208,-0.299,+44.13%,+44.13%,-19.86%,+35.00%,-3.44%,+1.352,+98.80%,-0.82%,20,20,-3.07%,-2.95%,+28.48%,-40.13%,+0.638,-2.95%,7,13,20,+35.00%,-2.95%,,,,436.16,391.78,29.79,11.64,0.39,2.16,0.39,+0.44%,-7.42%,,,,,-0.149
india,nov_apr_trend,1,63,base,"100,000.00","99,566.01",-0.43%,-0.10%,-0.44%,+8.30%,-0.011,-0.015,-0.039,+49.55%,+49.55%,-11.21%,+29.55%,-0.11%,+0.382,+48.40%,-0.82%,44,28,-1.58%,-0.06%,+17.20%,-10.17%,+0.956,-0.06%,13,31,32,+18.75%,-0.82%,6,+50.00%,+3.62%,957.15,860.61,64.51,25.56,0.86,4.76,0.86,+0.96%,-220.55%,6,+66.67%,+0.36%,,-0.011
india,obv_flow_trend,1,63,base,"100,000.00","104,335.03",+4.34%,+0.82%,+4.39%,+21.08%,+0.309,+0.444,+0.200,+62.05%,+62.05%,-21.93%,+46.30%,+6.69%,+1.108,+99.60%,-0.82%,54,48,-0.84%,+0.86%,+49.85%,-39.69%,+1.150,+0.86%,25,29,33,+42.42%,-0.56%,18,+55.56%,+4.10%,"1,181.09","1,062.29",79.26,31.55,1.06,5.87,1.06,+1.18%,+27.25%,3,+33.33%,-2.88%,,0.309
india,pre_holiday_trend,1,10,base,"100,000.00","101,830.70",+1.83%,+0.44%,+1.85%,+2.86%,+0.656,+1.137,+1.160,+75.56%,+75.56%,-1.60%,+54.76%,+1.89%,+0.030,+3.84%,-0.82%,42,36,+0.28%,+0.44%,+8.90%,-4.03%,+1.698,+0.44%,23,19,10,+90.00%,+2.02%,22,+54.55%,+0.37%,936.03,841.77,62.93,25.00,0.84,4.65,0.84,+0.94%,+51.13%,10,+20.00%,-1.01%,,0.656
