market,strategy,1y_sharpe,2y_sharpe,3y_sharpe,5y_sharpe,1y_trades,2y_trades,3y_trades,5y_trades,mean_sharpe,range_sharpe,min_sharpe
india,cmf_flow_factor,0.151,0.222,1.214,1.579,40,80,120,200,0.7915,1.428,0.151
india,deep_value,1.226,0.534,1.364,1.126,3,4,9,20,1.0625,0.8300000000000001,0.534
india,delivery_accumulation,1.067,0.071,1.152,0.568,51,96,130,216,0.7145,1.081,0.071
india,garp,0.164,0.594,1.015,1.481,11,17,21,39,0.8135,1.3170000000000002,0.164
india,keltner_squeeze_breakout,-0.026,-0.49,0.717,0.453,165,327,440,727,0.16349999999999998,1.2069999999999999,-0.49
india,momentum_quality_pe60,0.546,0.88,1.807,1.153,21,39,53,85,1.0965,1.261,0.546
india,nifty_momentum,-0.149,-0.015,1.593,1.109,20,40,60,100,0.6345000000000001,1.742,-0.149
india,nov_apr_trend,-0.011,-0.454,0.513,0.367,44,96,124,219,0.10375,0.9670000000000001,-0.454
india,obv_flow_trend,0.309,-0.247,1.08,0.823,54,105,152,250,0.49125,1.327,-0.247
india,pre_holiday_trend,0.656,0.448,0.021,-0.309,42,92,192,292,0.20400000000000001,0.9650000000000001,-0.309
india,quality_lowbeta,0.981,0.426,1.972,1.559,20,40,60,100,1.2345,1.546,0.426
india,quality_lowvol,0.223,-0.241,1.283,0.873,20,40,60,100,0.5345,1.524,-0.241
india,quality_stability,1.167,0.333,1.524,1.252,20,38,57,93,1.069,1.191,0.333
india,quality_value,1.5,1.183,1.938,1.481,12,22,38,72,1.5254999999999999,0.7549999999999999,1.183
india,seasonal_strong_trend,2.458,0.792,1.402,1.361,38,82,118,198,1.50325,1.6660000000000001,0.792
india,tom_window_trend,1.056,0.027,-0.21,-0.457,136,265,391,647,0.104,1.5130000000000001,-0.457
india,value_momentum_harness,1.943,1.628,1.944,1.486,3,10,21,48,1.7502499999999999,0.45799999999999996,1.486
india,value_rank,2.308,1.748,2.133,1.675,4,11,23,51,1.966,0.6329999999999998,1.675
india,vcp_breakout,0.385,0.131,0.907,0.705,61,114,155,260,0.532,0.776,0.131
india,vol_expansion_breakout,-0.061,-0.705,0.441,0.668,58,113,148,237,0.08575,1.373,-0.705
india,vol_target_lowvol,-0.232,-0.529,0.739,1.147,40,80,120,200,0.28125,1.6760000000000002,-0.529
india,volume_surge,1.132,-0.158,1.09,0.821,120,230,340,570,0.72125,1.2899999999999998,-0.158
us,cmf_flow_factor,1.906,1.537,0.516,0.882,40,80,120,200,1.2102499999999998,1.39,0.516
us,deep_value,1.88,1.293,1.622,0.794,7,8,14,47,1.39725,1.0859999999999999,0.794
us,delivery_accumulation,1.719,1.685,1.239,0.907,42,92,129,235,1.3875,0.812,0.907
us,garp,0.481,0.447,0.833,0.65,20,37,57,96,0.60275,0.38599999999999995,0.447
us,keltner_squeeze_breakout,1.186,0.552,0.621,0.421,170,319,445,737,0.695,0.7649999999999999,0.421
us,momentum_quality_pe60,0.729,0.667,0.783,0.823,40,73,109,188,0.7505,0.15599999999999992,0.667
us,nifty_momentum,1.358,1.345,1.597,1.214,20,40,60,100,1.3785000000000003,0.383,1.214
us,nov_apr_trend,0.785,0.777,1.145,0.752,34,65,90,173,0.8647499999999999,0.393,0.752
us,obv_flow_trend,1.211,1.114,1.179,0.815,65,118,179,311,1.0797500000000002,0.39600000000000013,0.815
us,pre_holiday_trend,0.699,0.679,0.131,-0.297,70,130,200,360,0.30300000000000005,0.996,-0.297
us,quality_lowbeta,0.698,0.335,0.594,0.764,20,40,60,100,0.59775,0.429,0.335
us,quality_lowvol,0.429,0.236,0.733,0.616,20,40,60,100,0.5035000000000001,0.497,0.236
us,quality_stability,-0.236,-0.192,0.461,0.58,20,40,60,100,0.15325,0.816,-0.236
us,quality_value,0.549,0.806,1.275,0.952,20,39,59,99,0.8955,0.7259999999999999,0.549
us,seasonal_strong_trend,-0.601,-0.295,0.188,0.399,42,81,117,202,-0.07724999999999999,1.0,-0.601
us,tom_window_trend,-1.038,-1.207,-0.824,-0.209,134,260,386,638,-0.8195,0.9980000000000001,-1.207
us,value_momentum_harness,1.972,1.318,1.256,0.747,19,24,37,77,1.32325,1.225,0.747
us,value_rank,1.986,1.569,1.567,0.806,19,24,38,78,1.482,1.18,0.806
us,vcp_breakout,0.804,0.806,0.772,0.573,66,109,173,289,0.73875,0.2330000000000001,0.573
us,vol_expansion_breakout,2.083,1.286,0.709,0.406,44,97,150,248,1.121,1.677,0.406
us,vol_target_lowvol,0.515,0.318,0.629,0.027,50,90,130,220,0.37224999999999997,0.602,0.027
us,volume_surge,1.429,1.005,1.077,0.654,114,224,340,562,1.04125,0.775,0.654
