market,strategy,years,hold,variant,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl
india,chandelier_breakout,1,250,regime_bull_pullback,"100,000.00","100,048.43",+0.05%,+0.01%,+0.05%,+15.60%,+0.081,+0.111,+0.004,+53.21%,+53.21%,-12.36%,+39.39%,+1.08%,+0.487,+63.16%,-0.46%,66,60,-1.79%,-0.01%,+41.35%,-22.16%,+1.002,-0.01%,26,40,53,+43.40%,+0.29%,12,+16.67%,-4.75%,1,+100.00%,+41.35%,"1,443.04","1,297.54",97.20,38.54,1.30,7.17,1.30,+1.44%,+2979.34%
india,chandelier_breakout,2,250,regime_bull_pullback,"100,000.00","78,136.70",-21.86%,-1.63%,-11.74%,+16.25%,-0.686,-0.883,-0.382,+16.43%,+16.43%,-30.72%,+32.32%,-11.13%,+0.577,+70.20%,+0.51%,164,129,-3.79%,-1.83%,+41.35%,-30.63%,+0.641,-1.83%,53,109,118,+33.05%,-1.66%,42,+30.95%,-2.75%,4,+25.00%,+2.74%,"2,961.05","2,660.99",200.99,79.03,2.66,14.70,2.66,+2.96%,-13.54%
india,chandelier_breakout,3,250,regime_bull_pullback,"100,000.00","94,379.64",-5.62%,-0.21%,-1.95%,+16.95%,-0.031,-0.040,-0.058,+47.90%,+47.90%,-33.77%,+38.83%,-6.08%,+0.659,+79.41%,+25.92%,273,194,-3.27%,-0.22%,+80.94%,-30.63%,+0.952,-0.22%,106,167,226,+40.27%,+0.13%,43,+32.56%,-2.36%,4,+25.00%,+2.74%,"6,010.03","5,403.63",405.24,160.49,5.40,29.86,5.40,+6.01%,-106.93%
india,chandelier_breakout,5,250,regime_bull_pullback,"100,000.00","114,253.19",+14.25%,+0.31%,+2.75%,+16.23%,+0.249,+0.330,+0.090,+70.79%,+70.79%,-30.48%,+37.77%,-1.46%,+0.602,+82.75%,+49.54%,466,271,-3.17%,+0.40%,+121.72%,-30.63%,+1.073,+0.40%,176,290,358,+37.71%,+0.24%,99,+38.38%,+1.09%,9,+33.33%,-0.94%,"10,256.40","9,223.16",689.90,273.93,9.22,50.97,9.22,+10.26%,+71.96%
india,connors_rsi2_bull,1,20,regime_bull_pullback,"100,000.00","80,824.01",-19.18%,-0.74%,-19.38%,+13.07%,-1.582,-1.954,-0.835,+5.18%,+5.18%,-23.22%,+55.17%,-18.84%,+0.485,+54.36%,-0.46%,261,185,+0.25%,-0.76%,+8.82%,-27.87%,+0.608,-0.76%,144,117,251,+56.57%,-0.60%,10,+20.00%,-4.66%,,,,"5,711.46","5,134.25",386.08,152.49,5.13,28.37,5.13,+5.71%,-29.78%
india,connors_rsi2_bull,3,20,regime_bull_pullback,"100,000.00","58,352.89",-41.65%,-0.44%,-16.76%,+15.90%,-1.073,-1.367,-0.376,+3.03%,+3.03%,-44.61%,+54.26%,-20.29%,+0.642,+70.49%,+25.92%,"1,032",377,+0.21%,-0.46%,+13.91%,-30.23%,+0.732,-0.46%,560,453,956,+54.60%,-0.37%,70,+50.00%,-1.81%,6,+50.00%,+0.95%,"20,826.85","18,723.98","1,405.86",556.10,18.72,103.47,18.72,+20.83%,-50.01%
india,connors_rsi2_bull,5,20,regime_bull_pullback,"100,000.00","52,527.13",-47.47%,-0.30%,-12.29%,+16.43%,-0.715,-0.922,-0.234,+5.40%,+5.40%,-52.53%,+54.92%,-16.44%,+0.677,+73.12%,+49.54%,"1,819",421,+0.26%,-0.31%,+14.84%,-31.78%,+0.813,-0.31%,999,770,"1,543",+54.31%,-0.38%,260,+59.62%,+0.21%,16,+37.50%,-2.85%,"35,075.85","31,535.78","2,366.11",936.61,31.54,174.27,31.54,+35.08%,-73.89%
india,low_volatility,3,63,regime_bull_pullback,"100,000.00","104,543.88",+4.54%,+0.45%,+1.52%,+9.50%,+0.207,+0.293,+0.062,+63.84%,+63.84%,-24.45%,+50.00%,-2.54%,+0.520,+86.37%,+25.92%,100,28,-0.09%,+0.45%,+31.66%,-26.71%,+1.120,+0.45%,50,50,90,+47.78%,+0.18%,10,+70.00%,+2.89%,,,,"2,228.84","2,004.40",149.82,59.53,2.00,11.08,2.00,+2.23%,+49.05%
india,low_volatility,5,63,regime_bull_pullback,"100,000.00","115,943.93",+15.94%,+0.95%,+3.06%,+9.70%,+0.359,+0.503,+0.129,+78.62%,+78.62%,-23.78%,+51.18%,-0.86%,+0.475,+87.88%,+49.54%,170,41,+0.03%,+0.89%,+39.29%,-22.58%,+1.272,+0.89%,87,83,140,+46.43%,-0.26%,30,+73.33%,+6.28%,,,,"3,759.04","3,381.07",252.10,100.42,3.38,18.68,3.38,+3.76%,+23.58%
india,mom_lowvol_combo,3,63,regime_bull_pullback,"100,000.00","153,846.12",+53.85%,+5.38%,+15.80%,+10.01%,+1.516,+2.240,+0.996,+99.49%,+99.49%,-15.87%,+51.00%,+11.29%,+0.513,+86.37%,+25.92%,100,49,+0.38%,+5.38%,+88.08%,-26.56%,+2.364,+5.38%,51,49,90,+46.67%,+4.84%,10,+90.00%,+10.29%,,,,"2,280.03","2,053.75",149.82,61.00,2.05,11.35,2.05,+2.28%,+4.23%
