market,strategy,years,hold,variant,Sharpe,CAGR,Total Return,Max Drawdown,Hit Rate,Trades,Benchmark Return,Alpha (ann.),Beta,Volatility (ann.),Final Equity,Total Fees
india,momentum_quality_pe60,3,63,regime,1.958,+15.01%,+50.79%,-4.97%,+64.10%,39,+25.92%,+12.88%,0.245,+7.28%,"150,791.92",920.14
india,momentum_quality_pe55,3,63,regime,1.944,+14.82%,+50.05%,-4.97%,+64.86%,37,+25.92%,+12.69%,0.245,+7.25%,"150,047.94",874.89
india,momentum_quality_pe,3,63,regime,1.927,+14.24%,+47.84%,-5.99%,+63.64%,33,+25.92%,+12.28%,0.227,+7.04%,"147,837.81",783.63
india,momentum_quality_pe40,3,63,regime,1.836,+12.56%,+41.54%,-4.61%,+61.54%,26,+25.92%,+10.74%,0.212,+6.56%,"141,538.44",621.40
india,momentum_quality,3,63,regime,1.784,+14.60%,+49.20%,-7.66%,+62.22%,45,+25.92%,+12.24%,0.273,+7.81%,"149,201.20","1,051.94"
india,quality_mom_lowvol,3,63,regime,1.776,+14.55%,+49.01%,-7.67%,+62.22%,45,+25.92%,+12.19%,0.273,+7.82%,"149,010.57","1,051.74"
india,momentum_quality_pb,3,63,regime,1.723,+9.51%,+30.58%,-3.87%,+72.73%,11,+25.92%,+8.32%,0.143,+5.36%,"130,584.53",276.41
india,rs_trend,3,126,regime_top15,1.662,+28.61%,+109.38%,-15.51%,+60.00%,75,+25.92%,+23.83%,0.581,+15.92%,"209,375.72","1,225.63"
india,nifty_momentum,3,126,regime_top15,1.531,+24.91%,+92.14%,-15.62%,+62.67%,75,+25.92%,+19.85%,0.609,+15.30%,"192,136.35","1,207.73"
india,mom_lowvol_combo,3,63,regime_bull_pullback,1.516,+15.80%,+53.85%,-15.87%,+51.00%,100,+25.92%,+11.29%,0.513,+10.01%,"153,846.12","2,280.03"
india,momentum_quality,5,126,regime_top15,1.398,+14.48%,+94.24%,-18.63%,+66.67%,78,+49.54%,+10.67%,0.425,+10.04%,"194,241.74","1,252.81"
