market,strategy,years,variant,Starting Capital,Final Equity,Total Return,Invested Return,CAGR,Volatility (ann.),sharpe,Sortino,Calmar,Probabilistic Sharpe,Deflated Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Avg Exposure,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Expectancy,Winning Trades,Losing Trades,Regime Bull Trades,Regime Bull Win Rate,Regime Bull Avg Return,Total Fees,Fee Stt,Fee Stamp Duty,Fee Exchange Txn,Fee Sebi,Fee Gst,Fee Ipft,Fees Pct Capital,Fees Pct Net Pnl,Regime Bear Trades,Regime Bear Win Rate,Regime Bear Avg Return,Regime Pullback Trades,Regime Pullback Win Rate,Regime Pullback Avg Return,Fee Commission
india,betting_against_beta,1,base,"100,000.00","105,313.02",+5.31%,+2.78%,+5.38%,+11.60%,0.51,+0.741,+0.388,+69.36%,+69.36%,-13.85,+55.00%,+5.90%,+0.487,+98.36%,-0.48%,20,15,+5.73%,+3.09%,+46.78%,-29.25%,+1.340,+3.09%,11,9,20,+55.00%,+3.09%,429.98,386.98,28.59,11.49,0.39,2.14,0.39,+0.43%,+8.09%,,,,,,,
india,betting_against_beta,2,base,"100,000.00","121,110.77",+21.11%,+5.43%,+10.16%,+13.56%,0.781,+1.146,+0.615,+86.42%,+86.42%,-16.51,+60.00%,+10.63%,+0.542,+97.60%,+0.09%,40,25,+4.71%,+6.31%,+57.28%,-32.94%,+1.865,+6.31%,24,16,20,+25.00%,-9.48%,887.38,799.32,58.30,23.74,0.80,4.42,0.80,+0.89%,+4.20%,10,+100.00%,+19.01%,10,+90.00%,+25.21%,
india,betting_against_beta,3,base,"100,000.00","140,426.09",+40.43%,+6.74%,+12.24%,+12.18%,1.009,+1.435,+0.794,+95.51%,+95.51%,-15.42,+56.67%,+8.58%,+0.474,+99.04%,+25.39%,60,38,+5.16%,+6.74%,+85.86%,-69.28%,+1.970,+6.74%,34,26,40,+40.00%,+0.90%,"1,376.45","1,240.38",89.89,36.84,1.24,6.85,1.24,+1.38%,+3.40%,20,+90.00%,+18.40%,,,,
india,betting_against_beta,5,base,"100,000.00","137,015.12",+37.02%,+3.85%,+6.63%,+12.04%,0.593,+0.852,+0.302,+90.49%,+90.49%,-21.92,+51.00%,+3.14%,+0.457,+99.68%,+47.44%,100,52,+0.22%,+3.75%,+60.18%,-41.11%,+1.571,+3.75%,51,46,70,+47.14%,+2.57%,"2,174.67","1,957.89",143.90,58.15,1.96,10.82,1.96,+2.17%,+5.88%,20,+75.00%,+11.99%,10,+30.00%,-4.50%,
india,conservative_investment,1,base,"100,000.00","107,969.01",+7.97%,+8.85%,+8.07%,+11.26%,0.746,+1.027,+1.279,+76.59%,+76.59%,-6.31,+66.67%,+8.59%,+0.418,+40.16%,-0.48%,9,8,+8.14%,+8.85%,+39.95%,-27.51%,+3.518,+8.85%,6,3,7,+57.14%,+8.20%,208.45,187.96,13.48,5.58,0.19,1.04,0.19,+0.21%,+2.62%,2,+100.00%,+11.15%,,,,
india,conservative_investment,2,base,"100,000.00","108,552.17",+8.55%,+3.44%,+4.23%,+16.75%,0.331,+0.462,+0.193,+67.89%,+67.89%,-21.88,+53.85%,+5.15%,+0.576,+63.26%,+0.09%,26,20,+0.66%,+3.82%,+72.69%,-34.68%,+1.442,+3.82%,14,12,18,+44.44%,-2.42%,561.52,505.48,37.23,15.01,0.51,2.79,0.51,+0.56%,+6.57%,3,+66.67%,+2.09%,5,+80.00%,+27.35%,
india,conservative_investment,3,base,"100,000.00","161,825.90",+61.83%,+14.05%,+17.79%,+16.08%,1.099,+1.492,+0.927,+96.41%,+96.41%,-19.18,+68.18%,+13.40%,+0.595,+73.44%,+25.39%,44,28,+12.77%,+14.05%,+103.37%,-74.40%,+3.174,+14.05%,30,14,36,+66.67%,+13.02%,"1,042.81",941.83,65.92,27.97,0.94,5.20,0.94,+1.04%,+1.69%,2,+100.00%,+11.15%,6,+66.67%,+21.18%,
india,conservative_investment,5,base,"100,000.00","247,717.48",+147.72%,+19.70%,+20.30%,+12.50%,1.541,+2.165,+1.530,+99.94%,+99.94%,-13.26,+70.67%,+16.27%,+0.473,+75.82%,+47.44%,75,43,+13.50%,+19.70%,+186.09%,-71.52%,+5.183,+19.70%,53,22,56,+66.07%,+17.12%,"1,821.47","1,647.76",112.37,48.94,1.65,9.11,1.65,+1.82%,+1.23%,3,+100.00%,+8.27%,16,+81.25%,+30.84%,
india,downside_risk,1,base,"100,000.00","105,421.58",+5.42%,+2.77%,+5.49%,+14.83%,0.434,+0.636,+0.346,+66.69%,+66.69%,-15.85,+55.00%,+6.33%,+0.812,+98.32%,-0.48%,20,16,+1.37%,+2.88%,+31.47%,-29.25%,+1.470,+2.88%,11,9,20,+55.00%,+2.88%,440.95,396.86,29.32,11.79,0.40,2.19,0.40,+0.44%,+8.13%,,,,,,,
india,downside_risk,2,base,"100,000.00","117,336.33",+17.34%,+4.39%,+8.41%,+14.56%,0.628,+0.907,+0.563,+81.09%,+81.09%,-14.94,+62.50%,+8.88%,+0.683,+97.58%,+0.09%,40,32,+6.69%,+4.44%,+41.10%,-32.94%,+1.806,+4.44%,25,15,20,+35.00%,-5.75%,896.34,807.13,59.17,23.97,0.81,4.46,0.81,+0.90%,+5.17%,10,+90.00%,+17.57%,10,+90.00%,+11.67%,
