Total Return,CAGR,Volatility (ann.),Sharpe,Sortino,Calmar,Probabilistic Sharpe,Max Drawdown,Hit Rate,Alpha (ann.),Beta,Benchmark Return,Trades,Unique Tickers,Median Trade Return,Avg Trade Return,Best Trade,Worst Trade,Profit Factor,Winning Trades,Losing Trades,market,strategy,years,top,hold,status
+115.57%,+16.94%,+18.44%,+0.941,+1.341,+0.663,+98.00%,-25.54%,+37.66%,+10.62%,+0.793,+49.56%,77,71,-5.20%,+16.53%,+785.47%,-48.31%,+3.001,29,46,india,golden_cross_50_200,5,10,500,ok
+40.43%,+12.26%,+20.09%,+0.676,+0.955,+0.411,+87.51%,-29.86%,+51.02%,+5.79%,+0.912,+25.93%,49,46,+0.98%,+8.18%,+125.08%,-48.31%,+2.307,25,24,india,golden_cross_50_200,3,10,500,ok
-0.97%,-0.49%,+19.60%,+0.073,+0.101,-0.020,+54.07%,-25.12%,+42.22%,+0.29%,+1.009,+0.52%,45,44,-3.61%,+0.39%,+54.23%,-26.40%,+0.966,19,26,india,golden_cross_50_200,2,10,500,ok
-11.58%,-11.72%,+16.10%,-0.693,-0.896,-0.521,+24.35%,-22.50%,+25.81%,-10.86%,+0.821,-0.45%,31,29,-6.74%,-3.50%,+55.15%,-23.69%,+0.473,8,23,india,golden_cross_50_200,1,10,500,ok
+71.41%,+11.60%,+19.06%,+0.672,+0.918,+0.365,+92.88%,-31.78%,+37.62%,+6.01%,+0.761,+49.56%,319,215,-3.36%,+2.33%,+170.80%,-29.19%,+1.468,120,197,india,fifty_two_week_high,5,10,500,ok
+46.65%,+13.93%,+18.89%,+0.786,+1.071,+0.672,+90.58%,-20.73%,+41.27%,+8.14%,+0.804,+25.93%,189,149,-2.47%,+2.53%,+103.51%,-29.19%,+1.531,78,111,india,fifty_two_week_high,3,10,500,ok
-11.47%,-5.98%,+21.46%,-0.179,-0.239,-0.228,+40.02%,-26.17%,+34.27%,-4.72%,+0.868,+0.52%,143,113,-3.63%,-0.76%,+41.12%,-29.19%,+0.813,49,93,india,fifty_two_week_high,2,10,500,ok
+6.14%,+6.22%,+20.17%,+0.401,+0.543,+0.361,+65.32%,-17.25%,+36.11%,+8.07%,+0.797,-0.45%,72,64,-4.10%,+0.91%,+41.12%,-25.36%,+1.179,26,46,india,fifty_two_week_high,1,10,500,ok
+123.32%,+17.78%,+16.14%,+1.096,+1.487,+0.839,+98.87%,-21.20%,+47.06%,+11.30%,+0.762,+49.56%,51,51,-1.84%,+28.00%,+477.23%,-45.48%,+4.009,24,27,india,bll_trading_range_break,5,10,500,ok
+85.74%,+23.47%,+21.69%,+1.082,+1.479,+0.679,+96.14%,-34.56%,+55.56%,+15.75%,+1.014,+25.93%,36,36,+2.31%,+23.71%,+164.29%,-56.44%,+4.105,20,16,india,bll_trading_range_break,3,10,500,ok
-19.61%,-10.46%,+20.11%,-0.448,-0.587,-0.245,+26.30%,-42.64%,+39.39%,-9.56%,+0.918,+0.52%,33,33,-2.74%,-4.33%,+92.22%,-45.48%,+0.454,13,20,india,bll_trading_range_break,2,10,500,ok
+7.51%,+7.60%,+18.59%,+0.487,+0.686,+0.394,+68.49%,-19.30%,+35.29%,+9.06%,+0.941,-0.45%,17,17,-7.54%,+4.43%,+61.34%,-24.93%,+1.617,6,11,india,bll_trading_range_break,1,10,500,ok
+80.74%,+12.82%,+16.24%,+0.824,+1.131,+0.467,+96.36%,-27.43%,+51.08%,+7.35%,+0.688,+49.56%,186,149,+0.45%,+4.38%,+179.87%,-29.14%,+1.682,95,91,india,keltner_breakout,5,10,100,ok
+76.21%,+21.28%,+16.59%,+1.247,+1.727,+1.342,+98.04%,-15.86%,+57.01%,+15.26%,+0.742,+25.93%,107,94,+3.82%,+7.12%,+113.14%,-26.14%,+2.434,61,46,india,keltner_breakout,3,10,100,ok
+16.17%,+7.88%,+21.08%,+0.465,+0.652,+0.339,+74.26%,-23.25%,+45.45%,+9.15%,+0.937,+0.52%,77,72,-1.61%,+2.43%,+58.63%,-34.54%,+1.311,35,42,india,keltner_breakout,2,10,100,ok
+14.41%,+14.60%,+22.64%,+0.714,+1.085,+0.558,+76.42%,-26.18%,+46.81%,+17.17%,+0.796,-0.45%,47,44,-2.81%,+1.32%,+43.69%,-27.34%,+1.157,22,25,india,keltner_breakout,1,10,100,ok
+104.99%,+15.75%,+17.44%,+0.926,+1.284,+0.734,+97.78%,-21.45%,+36.97%,+10.31%,+0.692,+49.56%,568,253,-2.22%,+1.87%,+113.11%,-26.90%,+1.500,210,358,india,adx_trend,5,10,250,ok
+59.40%,+17.21%,+17.39%,+1.000,+1.433,+0.740,+95.42%,-23.27%,+39.38%,+11.85%,+0.713,+25.81%,325,182,-1.87%,+1.81%,+113.11%,-23.04%,+1.506,128,197,india,adx_trend,3,10,250,ok
-21.24%,-11.38%,+21.49%,-0.454,-0.606,-0.326,+26.08%,-34.87%,+33.61%,-10.19%,+0.911,+0.43%,241,154,-2.29%,-0.87%,+41.88%,-21.16%,+0.728,81,154,india,adx_trend,2,10,250,ok
-11.91%,-12.05%,+20.92%,-0.508,-0.679,-0.435,+30.61%,-27.70%,+38.60%,-10.33%,+0.859,-0.54%,114,93,-1.90%,-0.69%,+34.10%,-21.16%,+0.688,44,70,india,adx_trend,1,10,250,ok
+110.85%,+16.41%,+13.33%,+1.207,+1.824,+1.213,+99.59%,-13.53%,+60.00%,+13.22%,+0.402,+49.42%,30,26,+17.35%,+36.95%,+324.25%,-34.65%,+5.194,18,12,india,long_term_reversal,5,10,250,ok
+7.38%,+2.46%,+13.90%,+0.244,+0.362,+0.092,+66.24%,-26.57%,+50.00%,-0.05%,+0.396,+25.81%,10,10,-4.44%,+7.38%,+107.93%,-36.33%,+1.510,5,5,india,long_term_reversal,3,10,250,ok
