Sun Aug  9 10:26:10 2026    rolling.prof

         2454463 function calls (2424536 primitive calls) in 2.984 seconds

   Ordered by: cumulative time
   List reduced from 1677 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.006    0.006    2.987    2.987 /home/kar/wt-after/harness.py:169(_run)
        1    0.000    0.000    2.980    2.980 /home/kar/wt-after/screener/backtester/rolling_simulation.py:469(run_rolling_backtest)
        1    0.001    0.001    2.026    2.026 /home/kar/wt-after/screener/backtester/rolling_simulation.py:335(prepare_rolling_backtest)
        1    0.001    0.001    1.716    1.716 /home/kar/wt-after/screener/backtester/signal_panel.py:154(build_signal_panel)
        1    0.000    0.000    0.954    0.954 /home/kar/wt-after/screener/backtester/rolling_simulation.py:410(run_prepared_rolling_backtest)
        1    0.015    0.015    0.761    0.761 /home/kar/wt-after/screener/backtester/pine.py:815(evaluate_panel_many)
      600    0.076    0.000    0.734    0.001 /home/kar/wt-after/screener/backtester/pine.py:721(panel_index_key)
        1    0.004    0.004    0.701    0.701 /home/kar/wt-after/screener/backtester/day_loop.py:246(run_day_loop)
        1    0.013    0.013    0.638    0.638 /home/kar/wt-after/screener/backtester/core.py:831(_precompute_filter_signals)
   613071    0.622    0.000    0.624    0.000 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/arrays/datetimes.py:647(__iter__)
      300    0.003    0.000    0.411    0.001 /home/kar/wt-after/screener/backtester/pine.py:752(_group_key)
      756    0.013    0.000    0.354    0.000 /home/kar/wt-after/screener/backtester/day_loop.py:192(process_exits_for_day)
      756    0.020    0.000    0.343    0.000 /home/kar/wt-after/screener/backtester/rolling_simulation.py:172(after_exits)
     7549    0.042    0.000    0.340    0.000 /home/kar/wt-after/screener/backtester/day_loop.py:73(_close_slot_at_day)
        1    0.000    0.000    0.308    0.308 /home/kar/wt-after/screener/backtester/price_panel.py:124(build_price_panel)
        1    0.000    0.000    0.245    0.245 /home/kar/wt-after/screener/backtester/rolling_simulation.py:269(_assemble_results)
      709    0.016    0.000    0.236    0.000 /home/kar/wt-after/screener/backtester/core.py:396(_make_slot_state)
     2019    0.009    0.000    0.229    0.000 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/generic.py:6485(astype)
        1    0.012    0.012    0.223    0.223 /home/kar/wt-after/screener/backtester/core.py:874(_filter_signals_for_group)
        1    0.034    0.034    0.220    0.220 /home/kar/wt-after/screener/backtester/rolling_candidates.py:101(_build_rolling_candidate_matrices)
     1648    0.006    0.000    0.199    0.000 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/indexing.py:1177(__getitem__)
     2785    0.018    0.000    0.183    0.000 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/frame.py:4073(__getitem__)
        1    0.031    0.031    0.178    0.178 /home/kar/wt-after/screener/backtester/portfolio.py:332(build_equity_curve)
    15101    0.046    0.000    0.175    0.000 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/indexes/datetimes.py:582(get_loc)
        1    0.003    0.003    0.175    0.175 /home/kar/wt-after/harness.py:48(fetch)
        5    0.000    0.000    0.157    0.031 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/window/rolling.py:2216(mean)
        5    0.000    0.000    0.157    0.031 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/window/rolling.py:1605(mean)
        5    0.000    0.000    0.157    0.031 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/window/rolling.py:562(_apply)
        5    0.003    0.001    0.157    0.031 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/window/rolling.py:460(_apply_columnwise)
      709    0.001    0.000    0.152    0.000 /home/kar/wt-after/screener/backtester/core.py:193(frame)
      214    0.011    0.000    0.150    0.001 /home/kar/wt-after/screener/backtester/core.py:147(_build_frame_cache)
     3570    0.019    0.000    0.140    0.000 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:317(apply)
2475/1253    0.004    0.000    0.124    0.000 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/ops/common.py:62(new_method)
     1314    0.120    0.000    0.120    0.000 {method 'setdefault' of 'dict' objects}
     5646    0.015    0.000    0.117    0.000 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:5385(__getitem__)
     1856    0.007    0.000    0.117    0.000 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/frame.py:3994(_ixs)
     2641    0.005    0.000    0.111    0.000 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/base.py:1342(searchsorted)
     2019    0.006    0.000    0.110    0.000 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:440(astype)
      311    0.002    0.000    0.108    0.000 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/indexing.py:1398(_getitem_axis)
     2785    0.008    0.000    0.107    0.000 /home/kar/wt-after/.venv/lib/python3.11/site-packages/pandas/core/frame.py:4637(_get_item_cache)


