Mon Aug  3 08:20:11 2026    profiling/webview/rolling.prof

         2948939 function calls (2896448 primitive calls) in 1.291 seconds

   Ordered by: internal time
   List reduced from 1739 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11292    0.053    0.000    0.097    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:5385(__getitem__)
451016/441258    0.037    0.000    0.067    0.000 {built-in method builtins.isinstance}
    15098    0.028    0.000    0.112    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/screener/backtester/core.py:964(_close_slot_at_day)
      930    0.020    0.000    0.024    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/screener/backtester/rolling_candidates.py:372(_candidate_rows_for_day)
    11988    0.020    0.000    0.031    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/generic.py:6258(__finalize__)
        2    0.020    0.010    0.111    0.056 /home/karneeshkar/Desktop/personal/screener_main/screener/screener/backtester/portfolio.py:327(build_equity_curve)
    20380    0.020    0.000    0.020    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
    10250    0.018    0.000    0.051    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1606(pandas_dtype)
        2    0.017    0.009    0.143    0.072 /home/karneeshkar/Desktop/personal/screener_main/screener/screener/backtester/rolling_candidates.py:101(_build_rolling_candidate_matrices)
192794/190546    0.017    0.000    0.020    0.000 {built-in method builtins.getattr}
    13680    0.016    0.000    0.020    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/screener/backtester/core.py:526(_check_exit_at_bar)
     2444    0.015    0.000    0.051    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/arrays/datetimelike.py:1000(_cmp_method)
    13072    0.015    0.000    0.020    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/generic.py:281(__init__)
     1804    0.014    0.000    0.040    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/window/rolling.py:601(calc)
113251/83635    0.014    0.000    0.022    0.000 {built-in method builtins.len}
    24180    0.014    0.000    0.020    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/generic.py:6323(__setattr__)
     7140    0.013    0.000    0.103    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:317(apply)
     5570    0.013    0.000    0.122    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/frame.py:4073(__getitem__)
    67472    0.013    0.000    0.028    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
      628    0.011    0.000    0.016    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
    67472    0.011    0.000    0.015    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:37(_check)
     1512    0.011    0.000    0.205    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/screener/backtester/rolling_simulation.py:458(after_exits)
     3608    0.010    0.000    0.015    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/numpy/_core/_methods.py:96(_clip)
     3690    0.010    0.000    0.015    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:1031(iget)
    12129    0.010    0.000    0.015    0.000 /home/karneeshkar/.local/share/uv/python/cpython-3.11.14-linux-x86_64-gnu/lib/python3.11/warnings.py:182(_add_filter)
      905    0.010    0.000    0.016    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:2320(is_unique)
    18058    0.010    0.000    0.012    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/generic.py:589(_get_axis)
     8790    0.010    0.000    0.033    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/base.py:545(to_numpy)
     6694    0.010    0.000    0.020    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/arrays/datetimes.py:527(_unbox_scalar)
        2    0.009    0.005    1.293    0.646 /home/karneeshkar/Desktop/personal/screener_main/screener/profiling/harness.py:164(_run)
     1418    0.009    0.000    0.136    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/screener/backtester/core.py:351(_make_slot_state)
    16536    0.008    0.000    0.008    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/screener/backtester/portfolio.py:112(<listcomp>)
     1512    0.008    0.000    0.120    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/screener/backtester/day_loop.py:89(process_exits_for_day)
       12    0.008    0.001    0.008    0.001 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/numpy/_core/numeric.py:1230(roll)
     8076    0.008    0.000    0.008    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    16536    0.008    0.000    0.016    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/screener/backtester/portfolio.py:111(_active_keys)
     4038    0.008    0.000    0.046    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1279(is_extension_array_dtype)
    32434    0.008    0.000    0.008    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/_config/__init__.py:34(using_copy_on_write)
     7736    0.008    0.000    0.008    0.000 {method 'copy' of 'numpy.ndarray' objects}
       20    0.007    0.000    0.007    0.000 /home/karneeshkar/Desktop/personal/screener_main/screener/.venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:2265(_stack_arrays)


